snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-18,1.0,127061,美锦转债,110.065,6.39,116.46,5.96,1.589,27.742,7815.38,2.56,A,000723,美锦能源,3.59,-0.28,1.27,,0.40499999999999997,,0.25,0.5,0.25,0.5,0.5,1.0
2026-09-18,2.0,113056,重银转债,125.471,6.13,131.6,-7.07,1.512,115.622,19484.47,1.34,AAA,601963,重庆银行,10.9,-1.18,0.59,,0.42875,,0.5,0.25,0.5,0.25,1.0,0.375
2026-09-18,3.0,113062,常银转债,128.025,7.2,135.23,-8.1,1.995,59.994,5348.03,0.7,AAA,601128,常熟银行,6.27,-0.79,0.68,,0.77125,,0.75,0.75,1.0,0.75,0.75,0.375
2026-09-18,4.0,113058,友发转债,129.033,13.79,142.82,-7.97,1.532,18.638,3466.84,1.44,AA,601686,友发集团,5.08,-0.39,1.06,,0.8949999999999999,,1.0,1.0,0.75,1.0,0.25,0.75
