snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-24,1.0,127061,美锦转债,108.5,6.96,115.46,7.01,1.573,27.742,8798.79,2.93,A,000723,美锦能源,3.52,0.0,1.24,,0.5333333333333333,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0
2026-09-24,2.0,113056,重银转债,124.25,3.86,128.11,-6.53,1.496,115.622,28453.6,1.98,AAA,601963,重庆银行,11.03,2.04,0.59,,0.5483333333333332,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-24,3.0,113062,常银转债,126.297,7.47,133.77,-7.53,1.978,59.994,10673.02,1.4,AAA,601128,常熟银行,6.17,-0.32,0.67,,0.9183333333333333,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5
2026-09-24,,123285,润禾转02,100.0,-10.58,89.42,2.84,5.964,3.7,0.0,0.0,A+,300727,润禾材料,34.78,-4.58,4.63,,,liquidity_too_low,,,,,,
2026-09-24,,123287,满坤转债,100.0,-4.83,95.17,2.18,6.003,7.6,0.0,0.0,AA-,301132,满坤科技,70.37,-5.62,5.79,,,liquidity_too_low,,,,,,
2026-09-24,,127117,奥士转债,100.0,-3.27,96.73,2.16,6.0,10.0,0.0,0.0,AA,002913,奥士康,86.8,-4.47,6.26,,,liquidity_too_low,,,,,,
2026-09-24,,113711,常青转债,100.0,2.43,102.43,2.18,6.003,8.0,0.0,0.0,AA-,603125,常青科技,23.44,-4.4,3.69,,,liquidity_too_low,,,,,,
2026-09-24,,123288,隆新转债,100.0,2.81,102.81,2.15,6.003,9.6,0.0,0.0,AA,301149,隆华新材,8.91,-3.68,2.26,,,liquidity_too_low,,,,,,
2026-09-24,,123286,国科转债,100.0,3.24,103.24,2.19,6.0,8.49,0.0,0.0,AA-,301571,国科天成,72.16,-2.68,6.11,,,liquidity_too_low,,,,,,
2026-09-24,,118077,莱特转债,100.0,4.26,104.26,2.15,6.003,5.25,0.0,0.0,AA,688150,莱特光电,42.99,-3.8,8.0,,,liquidity_too_low,,,,,,
