代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123284,强达转债,100.0,0.0,301628,强达电路,102.64,12.98,6.49,84.04,122.13,-18.12,AA-,58.828,109.252,18.4,2032-08-18,5.97,5.5,0.0,0.0,2.2,81.88
113710,四方转债,100.0,0.0,603339,四方科技,14.98,2.18,1.66,14.87,100.74,-0.73,AA,10.409,19.331,22.1,2032-09-02,6.003,10.234,0.0,0.0,2.16,99.27
123112,万讯转债,150.0,-6.42,300112,万讯自控,9.67,-5.75,2.85,6.43,150.39,-0.26,AA-,4.501,8.359,8.3,2027-04-08,,1.934,78740.01,270.62,,149.74
127067,恒逸转2,189.203,0.09,000703,恒逸石化,19.52,0.15,2.45,10.32,189.15,0.03,AA+,7.224,13.416,0.5,2028-07-21,,3.693,120967.5,173.36,,189.23
128134,鸿路转债,120.4,2.65,002541,鸿路钢构,21.03,4.01,1.42,17.49,120.24,0.13,AA,12.243,22.737,14.6,2026-10-09,0.107,15.279,57351.82,31.32,-82.98,120.53
110077,洪城转债,202.733,-1.17,600461,洪城环境,8.88,-1.33,1.14,4.41,201.36,0.68,AA+,3.087,5.733,5.0,2026-11-20,0.222,5.837,5873.96,4.93,-208.67,203.41
132026,G三峡EB2,134.0,-0.87,600900,长江电力,28.09,0.14,3.18,21.2,132.5,1.15,AAA,14.84,27.56,1.4,2027-06-01,0.751,94.986,4338.3,0.34,-25.87,135.15
127061,美锦转债,114.26,-1.32,000723,美锦能源,3.9,-1.27,1.38,3.47,112.39,1.66,A,2.429,4.511,16.2,2028-04-20,1.638,27.856,13268.36,4.15,3.35,115.92
113042,上银转债,117.293,0.4,601229,上海银行,9.48,1.94,0.5,8.35,113.53,3.31,AAA,,10.855,14.8,2027-01-25,0.403,199.774,29381.22,1.25,-11.21,120.6
113066,平煤转债,139.464,0.47,601666,平煤股份,10.06,1.93,0.99,7.46,134.85,3.42,AAA,5.222,9.698,5.7,2029-03-16,2.543,14.274,34780.07,17.39,-9.1,142.88
110081,闻泰转债,108.071,-1.14,600745,*ST闻泰,19.12,-3.39,1.0,18.36,104.14,3.78,BBB+,12.852,23.868,28.5,2027-07-28,0.907,72.051,23755.11,3.05,-0.07,111.85
113046,金田转债,137.833,1.28,601609,金田股份,13.49,3.93,2.25,10.18,132.52,4.01,AA+,7.126,13.234,6.4,2027-03-22,0.556,14.992,11955.63,5.84,-36.31,141.84
123243,严牌转债,224.88,7.41,301081,严牌股份,15.56,9.81,3.17,7.22,215.51,4.35,A+,5.054,9.386,7.5,2030-07-10,3.86,2.607,133905.31,231.3,-15.54,229.23
113605,大参转债,114.416,0.2,603233,大参林,18.45,1.65,2.72,16.86,109.43,4.56,AA,11.802,21.918,6.7,2026-10-22,0.143,14.044,4827.21,3.02,-27.63,118.98
113056,重银转债,127.329,-0.18,601963,重庆银行,11.19,1.63,0.6,9.22,121.37,4.91,AAA,,11.986,50.8,2028-03-23,1.562,115.622,23687.79,1.61,-7.74,132.24
113615,金诚转债,780.924,0.37,603979,金诚信,81.72,0.0,4.11,11.12,734.89,6.26,AA,7.784,14.456,1.0,2026-12-23,0.312,4.958,37742.45,9.98,-276.67,787.18
113043,财通转债,118.857,-0.8,601108,财通证券,8.89,1.25,1.05,7.98,111.4,6.69,AAA,,10.374,9.2,2026-12-10,0.277,37.992,16947.1,3.76,-39.48,125.55
113681,镇洋转债,139.559,-0.21,603213,镇洋发展,14.12,0.86,3.38,10.95,128.95,8.23,AA-,7.665,14.235,8.7,2029-12-29,3.332,5.476,4923.32,6.44,-4.68,147.79
113062,常银转债,128.55,-0.01,601128,常熟银行,6.19,0.65,0.67,5.25,117.91,9.03,AAA,,6.825,26.6,2028-09-15,2.044,59.994,15009.98,1.95,-7.74,137.58
123207,冠中转债,225.418,0.92,300948,冠中生态,21.58,0.65,3.53,10.44,206.71,9.05,A-,7.308,13.572,4.3,2029-07-21,2.89,1.455,19131.23,58.53,-20.09,234.47
127030,盛虹转债,120.95,0.6,000301,东方盛虹,14.6,3.55,2.49,13.21,110.52,9.43,AA+,9.247,17.173,5.2,2027-03-22,0.556,49.974,27736.64,4.62,-19.25,130.38
128138,侨银转债,131.1,0.08,002973,侨银股份,12.64,0.56,2.01,10.6,119.25,9.94,A+,7.42,13.78,10.5,2026-11-17,0.214,4.199,5289.99,9.62,-3.98,141.04
127080,声迅转债,281.7,4.06,003004,声迅股份,73.57,5.08,8.72,28.94,254.22,10.81,A,20.258,37.622,5.5,2028-12-30,2.334,2.793,82482.72,104.66,-31.31,292.51
123283,丰茂转债,100.0,0.0,301459,丰茂股份,31.82,0.82,2.6,35.59,89.41,11.85,AA-,24.913,46.267,73.2,2032-08-17,5.967,6.075,0.0,0.0,2.2,111.85
123091,长海转债,130.59,-0.46,300196,长海股份,17.35,1.4,1.47,14.99,115.74,12.83,AA,10.493,19.487,12.7,2026-12-23,0.312,5.461,17318.15,24.42,-48.45,143.42
123282,震裕转02,100.0,0.0,300953,震裕科技,92.71,0.12,4.61,104.85,88.42,13.09,AA-,73.395,136.305,11.6,2032-08-16,5.964,18.8,0.0,0.0,2.2,113.09
