代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,31.7,-0.06,4.22,31.1,101.93,-1.89,A+,21.77,40.43,7.2,2032-09-09,5.989,3.7,0.0,0.0,2.83,98.11
110077,洪城转债,205.585,-0.69,600461,洪城环境,9.09,-0.55,1.17,4.41,206.12,-0.26,AA+,3.087,5.733,4.5,2026-11-20,0.181,5.322,6713.29,6.12,-261.06,205.33
127116,瑞鹄转02,100.0,0.0,002997,瑞鹄模具,29.24,-0.65,2.31,29.18,100.21,-0.21,AA,20.426,37.934,11.2,2032-09-16,6.003,6.86,0.0,0.0,1.85,99.79
132026,G三峡EB2,136.556,-0.39,600900,长江电力,28.5,-0.45,3.23,21.2,134.43,1.6,AAA,14.84,27.56,1.4,2027-06-01,0.71,94.986,5242.58,0.4,-29.49,138.16
113042,上银转债,117.843,-0.29,601229,上海银行,9.67,-1.02,0.51,8.35,115.81,1.76,AAA,,10.855,14.5,2027-01-25,0.362,199.774,19763.86,0.84,-13.71,119.6
123258,胜蓝转02,248.6,-0.36,300843,胜蓝股份,132.5,-0.29,12.57,54.36,243.75,1.99,AA-,38.052,70.668,2.1,2031-08-28,,4.49,99051.09,87.8,,250.59
123243,严牌转债,230.542,-2.47,301081,严牌股份,16.27,-3.1,3.32,7.22,225.35,2.31,A+,5.054,9.386,7.0,2030-07-10,3.819,2.558,67701.03,111.58,-16.25,232.85
113046,金田转债,129.761,-0.47,601609,金田股份,12.82,-2.44,2.14,10.18,125.93,3.04,AA+,7.126,13.234,6.8,2027-03-22,0.515,14.991,9942.59,5.1,-29.57,132.8
113605,大参转债,112.649,-0.44,603233,大参林,18.38,0.71,2.71,16.86,109.02,3.33,AA,11.802,21.918,6.7,2026-10-22,0.101,14.044,3924.72,2.47,-23.85,115.98
123091,长海转债,139.324,0.38,300196,长海股份,19.83,-1.59,1.68,14.79,134.08,3.91,AA,10.353,19.227,11.1,2026-12-23,0.271,5.46,171546.37,221.68,-75.72,143.23
113056,重银转债,126.671,-0.54,601963,重庆银行,11.15,-2.36,0.6,9.22,120.93,4.74,AAA,,11.986,51.0,2028-03-23,1.521,115.622,11003.96,0.75,-7.62,131.41
127080,声迅转债,216.324,-11.52,003004,声迅股份,59.64,-8.6,7.07,28.94,206.08,4.97,A,20.258,37.622,6.8,2028-12-30,2.293,2.793,104159.63,165.14,-23.33,221.29
113062,XD常银转,128.322,0.09,601128,常熟银行,6.39,-1.08,0.7,5.25,121.71,5.43,AAA,,6.825,25.7,2028-09-15,2.0,59.994,9126.78,1.18,-8.18,133.75
111000,起帆转债,140.036,0.18,605222,起帆电缆,22.85,1.65,1.92,17.29,132.16,5.96,AA-,12.103,22.477,10.6,2027-05-24,0.688,9.991,40855.39,28.85,-26.0,146.0
127047,帝欧转债,135.75,0.27,002798,帝欧水华,6.52,-2.1,1.87,5.1,127.84,6.18,BBB+,3.57,6.63,13.8,2027-10-25,1.11,4.654,3924.97,6.21,-12.71,141.93
127061,美锦转债,112.031,-0.42,000723,美锦能源,3.64,-0.27,1.29,3.47,104.9,6.8,A,2.429,4.511,17.3,2028-04-20,1.597,27.742,6752.42,2.16,4.74,118.83
128134,鸿路转债,112.78,-0.76,002541,鸿路钢构,18.17,-3.66,1.25,17.49,103.89,8.56,AA,12.243,22.737,13.8,2026-10-09,0.066,12.849,8260.0,5.71,-39.13,121.34
113043,财通转债,111.517,-2.01,601108,财通证券,8.15,-1.21,0.96,7.98,102.13,9.19,AAA,,10.374,10.0,2026-12-10,0.236,37.992,19278.95,4.54,-21.24,120.71
111015,东亚转债,134.953,-0.56,605177,东亚药业,24.9,-0.4,1.68,20.28,122.78,9.91,A+,14.196,26.364,23.5,2029-07-06,2.808,6.662,7659.61,8.48,-4.59,144.86
113615,金诚转债,715.286,-2.14,603979,金诚信,72.3,-2.11,3.64,11.12,650.18,10.01,AA,7.784,14.456,1.1,2026-12-23,0.271,4.958,18022.24,5.03,-314.12,725.3
123245,集智转债,335.0,-1.36,300553,集智股份,54.91,-1.33,7.21,18.06,304.04,10.18,A,12.642,23.478,3.3,2030-08-14,3.915,1.537,38109.95,73.25,-23.36,345.18
128138,侨银转债,130.801,0.04,002973,侨银股份,12.51,0.48,1.99,10.6,118.02,10.83,A+,7.42,13.78,10.6,2026-11-17,0.173,4.199,3806.43,6.92,-3.6,141.63
113681,镇洋转债,136.848,-0.67,603213,镇洋发展,13.45,-0.88,3.22,10.95,122.83,11.41,AA-,7.665,14.235,9.2,2029-12-29,3.29,5.476,3759.93,5.01,-4.16,148.26
110081,闻泰转债,102.899,-0.03,600745,*ST闻泰,16.68,-0.3,0.87,18.36,90.85,13.26,BBB+,12.852,23.868,32.5,2027-07-28,0.866,71.5,6215.25,0.84,5.74,116.16
113058,友发转债,130.021,-0.79,601686,友发集团,5.14,-1.34,1.07,4.48,114.73,13.33,AA,3.136,5.824,24.5,2028-03-30,1.54,18.638,3401.56,1.4,-8.38,143.35
127030,盛虹转债,118.039,0.27,000301,东方盛虹,13.75,2.31,2.34,13.21,104.09,13.4,AA+,9.247,17.173,5.5,2027-03-22,0.515,49.974,6460.54,1.09,-16.51,131.44
118058,微导转债,342.929,-0.82,688147,微导纳米,100.64,1.61,15.11,33.29,302.31,13.44,AA,23.303,43.277,2.5,2031-08-06,4.893,11.698,118327.42,29.21,-20.38,356.37
127110,广核转债,137.0,0.13,003816,中国广核,4.32,-0.46,1.76,3.58,120.67,13.53,AAA,2.506,4.654,2.9,2031-07-09,4.816,48.992,7116.22,1.06,-4.52,150.53
113631,皖天转债,133.134,-0.66,603689,皖天然气,7.63,-0.78,1.07,6.51,117.2,13.59,AA+,4.557,8.463,14.9,2027-11-08,1.148,5.958,2673.19,3.36,-14.29,146.72
113066,平煤转债,138.433,0.02,601666,平煤股份,9.08,-0.55,0.89,7.46,121.72,13.73,AAA,5.222,9.698,6.4,2029-03-16,2.501,14.274,5875.18,2.97,-8.97,152.16
