代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
127089,晶澳转债,120.979,002459,晶澳科技,89.603,89.588,2024-01-24,,2029-07-18,8.9,130,11.57,6.81,,0/15 | 30,公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127072,博实转债,135.378,002698,博实股份,4.5,4.498,2023-03-28,,2028-09-22,14.81,130,19.253,12.28,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
127069,小熊转债,127.615,002959,小熊电器,5.36,5.041,2023-02-20,,2028-08-12,43.71,130,56.823,32.7,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127061,美锦转债,113.125,000723,美锦能源,35.9,27.742,2022-10-26,,2028-04-20,3.47,130,4.511,3.84,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
127060,湘佳转债,128.925,002982,湘佳股份,6.4,6.399,2022-10-25,,2028-04-19,13.8,130,17.94,12.82,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）；,
127062,垒知转债,123.778,002398,垒知集团,3.963,3.957,2022-10-27,,2028-04-21,7.56,130,9.828,4.26,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127064,杭氧转债,142.2,002430,杭氧股份,11.37,11.364,2022-11-25,,2028-05-19,25.67,130,33.371,26.66,,0/15 | 30,如果公司 A 股股票连续 30 个交易日中至少有15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127068,顺博转债,123.801,002996,顺博合金,8.3,8.3,2023-02-20,,2028-08-12,10.0,130,13.0,6.28,,0/15 | 30,如果公司股票任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%,
127095,广泰转债,145.445,002111,威海广泰,7.0,6.927,2024-04-24,,2029-10-18,8.83,130,11.479,9.75,,0/15 | 30,如果公司股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127098,欧晶转债,123.563,001269,欧晶科技,4.7,4.693,2024-05-30,,2029-11-24,42.0,130,54.6,19.35,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
127112,尚太转债,156.158,001301,尚太科技,17.34,17.339,2026-07-22,,2032-01-16,60.02,130,78.026,56.77,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）,
127111,金威转债,140.13,002626,金达威,12.924,12.924,2026-02-26,,2031-08-20,19.19,130,24.947,16.45,,0/15 | 30,公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含本数）；,
128135,洽洽转债,114.784,002557,洽洽食品,13.4,13.398,2021-04-26,,2026-10-20,54.95,130,71.435,18.82,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
128136,立讯转债,116.0,002475,立讯精密,30.0,29.817,2021-05-10,,2026-11-03,55.67,130,72.371,57.08,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
128142,新乳转债,111.606,002946,新乳业,7.18,7.178,2021-06-24,,2026-12-18,17.5,130,22.75,15.07,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),
128138,侨银转债,131.08,002973,侨银股份,4.2,4.199,2021-05-24,,2026-11-17,10.6,130,13.78,12.78,,0/15 | 30,如果公司股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%(含130%),
127110,广核转债,137.36,003816,中国广核,49.0,48.992,2026-01-15,,2031-07-09,3.58,130,4.654,4.33,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127108,太能转债,123.827,000591,太阳能,29.5,29.498,2025-10-09,,2031-03-28,5.54,130,7.202,4.27,,0/15 | 30,公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
127102,浙建转债,121.471,002761,浙江建投,10.0,9.951,2024-07-01,,2029-12-25,10.17,130,13.221,7.38,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
127099,盛航转债,135.118,001205,盛航股份,7.4,4.541,2024-06-12,,2029-12-06,15.33,130,19.929,14.69,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127103,东南转债,138.611,002135,东南网架,20.0,19.999,2024-07-09,,2030-01-03,5.59,130,7.267,6.49,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127104,姚记转债,143.999,002605,姚记科技,5.831,5.822,2024-07-31,,2030-01-24,19.58,130,25.454,17.3,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）；,
127105,龙星转债,133.04,002442,龙星科技,7.54,7.534,2024-08-07,,2030-01-31,5.8,130,7.54,5.3,,0/15 | 30,如果公司 A 股股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）；,
127059,永东转2,130.82,002753,永东股份,3.8,3.79,2022-10-14,,2028-04-08,8.11,130,10.543,6.87,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127056,中特转债,127.16,000708,中信特钢,50.0,49.996,2022-09-05,,2028-02-25,13.89,130,18.057,13.67,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123257,安克转债,159.89,300866,安克创新,11.048,11.046,2025-12-22,,2031-06-16,106.72,130,138.736,129.0,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123253,永贵转债,134.55,300351,永贵电器,9.8,9.797,2025-09-19,,2031-03-13,18.19,130,23.647,14.55,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123260,卓镁转债,142.089,301398,星源卓镁,4.5,4.499,2026-05-13,,2031-11-07,52.15,130,67.795,35.69,,0/15 | 30,如果发行人股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123262,神宇转债,133.194,300563,神宇股份,5.0,4.999,2026-06-17,,2031-12-11,38.62,130,50.206,26.91,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）。,
123264,双乐转债,123.979,301036,双乐股份,8.0,8.0,2026-07-06,,2031-12-26,36.4,130,47.32,23.11,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123263,鼎捷转债,156.503,300378,鼎捷数智,8.28,8.275,2026-06-22,,2031-12-15,43.42,130,56.446,38.72,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123252,银邦转债,135.328,300337,银邦股份,7.85,7.846,2025-07-14,,2031-01-06,12.5,130,16.25,10.08,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123250,嘉益转债,123.419,301004,嘉益股份,3.979,3.955,2025-05-13,,2030-11-07,79.66,130,103.558,34.76,,0/15 | 30,公司股票在任何连续三十个交易日中至少十五个交易日收盘价格不低于当期转股价格的 130%（含 130%）；,
123224,宇邦转债,139.5,301266,宇邦新材,5.0,2.848,2024-03-25,,2029-09-19,28.17,130,36.621,24.97,,0/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
