snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-14,1.0,113056,重银转债,127.361,2.83,130.19,-7.94,1.523,115.622,15831.61,1.07,AAA,601963,重庆银行,11.42,1.69,0.61,,0.5483333333333332,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-14,2.0,127061,美锦转债,112.502,6.95,119.45,4.45,1.6,27.742,7969.9,2.56,A,000723,美锦能源,3.65,-2.93,1.29,,0.6333333333333333,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
2026-09-14,3.0,113062,常银转债,129.21,5.01,134.22,-8.13,2.006,59.994,9434.85,1.22,AAA,601128,常熟银行,6.46,0.78,0.7,,0.8183333333333334,,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5
2026-09-14,,123285,润禾转02,100.0,-1.95,98.05,2.83,5.992,3.7,0.0,0.0,A+,300727,润禾材料,31.72,6.87,4.22,,,liquidity_too_low,,,,,,
2026-09-14,,127116,瑞鹄转02,100.0,-0.85,99.15,1.85,0.0,6.86,0.0,0.0,AA,002997,瑞鹄模具,29.43,1.31,2.32,,,liquidity_too_low|maturity_too_close,,,,,,
2026-09-14,,113605,大参转债,113.149,4.53,117.68,-27.45,0.104,14.044,3180.07,2.01,AA,603233,大参林,18.25,3.11,2.69,,,maturity_too_close,,,,,,
2026-09-14,,113042,上银转债,118.186,1.01,119.2,-14.36,0.364,199.774,27610.98,1.17,AAA,601229,上海银行,9.77,0.51,0.52,,,maturity_too_close,,,,,,
2026-09-14,,113043,财通转债,113.8,10.08,123.88,-29.09,0.238,37.992,15779.57,3.65,AAA,601108,财通证券,8.25,0.61,0.97,,,maturity_too_close,,,,,,
2026-09-14,,123076,强力转债,119.993,15.42,135.41,-32.72,0.181,3.393,3087.73,7.61,AA-,300429,强力新材,11.02,2.13,3.11,,,maturity_too_close,,,,,,
2026-09-14,,128134,鸿路转债,113.645,5.39,119.04,-48.74,0.069,12.849,3319.91,2.26,AA,002541,鸿路钢构,18.86,0.86,1.3,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-14,,113046,金田转债,130.375,1.01,131.39,-30.18,0.518,14.991,27890.66,14.26,AA+,601609,金田股份,13.14,2.74,2.19,,,price_too_high,,,,,,
