snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-15,1.0,113056,重银转债,126.671,4.74,131.41,-7.62,1.521,115.622,11003.96,0.75,AAA,601963,重庆银行,11.15,-2.36,0.6,,0.48100000000000004,,0.6,0.4,0.4,0.2,1.0,0.3
2026-09-15,2.0,127061,美锦转债,112.031,6.8,118.83,4.74,1.597,27.742,6752.42,2.16,A,000723,美锦能源,3.64,-0.27,1.29,,0.494,,0.2,0.8,0.2,0.8,0.4,1.0
2026-09-15,3.0,113046,金田转债,129.761,3.04,132.8,-29.57,0.515,14.991,9942.59,5.1,AA+,601609,金田股份,12.82,-2.44,2.14,,0.6290000000000001,,1.0,0.2,1.0,0.4,0.2,0.7
2026-09-15,4.0,113062,XD常银转,128.322,5.43,133.75,-8.18,2.0,59.994,9126.78,1.18,AAA,601128,常熟银行,6.39,-1.08,0.7,,0.6630000000000001,,0.8,0.6,0.6,0.6,0.8,0.3
2026-09-15,5.0,127030,盛虹转债,118.039,13.4,131.44,-16.51,0.515,49.974,6460.54,1.09,AA+,000301,东方盛虹,13.75,2.31,2.34,,0.7330000000000001,,0.4,1.0,0.8,1.0,0.6,0.7
2026-09-15,,123285,润禾转02,100.0,-1.89,98.11,2.83,5.989,3.7,0.0,0.0,A+,300727,润禾材料,31.7,-0.06,4.22,,,liquidity_too_low,,,,,,
2026-09-15,,127116,瑞鹄转02,100.0,-0.21,99.79,1.85,6.003,6.86,0.0,0.0,AA,002997,瑞鹄模具,29.24,-0.65,2.31,,,liquidity_too_low,,,,,,
2026-09-15,,113605,大参转债,112.649,3.33,115.98,-23.85,0.101,14.044,3924.72,2.47,AA,603233,大参林,18.38,0.71,2.71,,,maturity_too_close,,,,,,
2026-09-15,,113042,上银转债,117.843,1.76,119.6,-13.71,0.362,199.774,19763.86,0.84,AAA,601229,上海银行,9.67,-1.02,0.51,,,maturity_too_close,,,,,,
2026-09-15,,113043,财通转债,111.517,9.19,120.71,-21.24,0.236,37.992,19278.95,4.54,AAA,601108,财通证券,8.15,-1.21,0.96,,,maturity_too_close,,,,,,
2026-09-15,,128134,鸿路转债,112.78,8.56,121.34,-39.13,0.066,12.849,8260.0,5.71,AA,002541,鸿路钢构,18.17,-3.66,1.25,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-15,,127047,帝欧转债,135.75,6.18,141.93,-12.71,1.11,4.654,3924.97,6.21,BBB+,002798,帝欧水华,6.52,-2.1,1.87,,,price_too_high,,,,,,
2026-09-15,,113058,友发转债,130.021,13.33,143.35,-8.38,1.54,18.638,3401.56,1.4,AA,601686,友发集团,5.14,-1.34,1.07,,,price_too_high,,,,,,
2026-09-15,,111015,东亚转债,134.953,9.91,144.86,-4.59,2.808,6.662,7659.61,8.48,A+,605177,东亚药业,24.9,-0.4,1.68,,,price_too_high,,,,,,
2026-09-15,,113631,皖天转债,133.134,13.59,146.72,-14.29,1.148,5.958,2673.19,3.36,AA+,603689,皖天然气,7.63,-0.78,1.07,,,price_too_high,,,,,,
2026-09-15,,113681,镇洋转债,136.848,11.41,148.26,-4.16,3.29,5.476,3759.93,5.01,AA-,603213,镇洋发展,13.45,-0.88,3.22,,,price_too_high,,,,,,
2026-09-15,,127110,广核转债,137.0,13.53,150.53,-4.52,4.816,48.992,7116.22,1.06,AAA,003816,中国广核,4.32,-0.46,1.76,,,price_too_high,,,,,,
2026-09-15,,113066,平煤转债,138.433,13.73,152.16,-8.97,2.501,14.274,5875.18,2.97,AAA,601666,平煤股份,9.08,-0.55,0.89,,,price_too_high,,,,,,
2026-09-15,,127080,声迅转债,216.324,4.97,221.29,-23.33,2.293,2.793,104159.63,165.14,A,003004,声迅股份,59.64,-8.6,7.07,,,price_too_high,,,,,,
2026-09-15,,123243,严牌转债,230.542,2.31,232.85,-16.25,3.819,2.558,67701.03,111.58,A+,301081,严牌股份,16.27,-3.1,3.32,,,price_too_high,,,,,,
2026-09-15,,118058,微导转债,342.929,13.44,356.37,-20.38,4.893,11.698,118327.42,29.21,AA,688147,微导纳米,100.64,1.61,15.11,,,price_too_high,,,,,,
2026-09-15,,128138,侨银转债,130.801,10.83,141.63,-3.6,0.173,4.199,3806.43,6.92,A+,002973,侨银股份,12.51,0.48,1.99,,,price_too_high|maturity_too_close,,,,,,
2026-09-15,,123091,长海转债,139.324,3.91,143.23,-75.72,0.271,5.46,171546.37,221.68,AA,300196,长海股份,19.83,-1.59,1.68,,,price_too_high|maturity_too_close,,,,,,
2026-09-15,,110077,洪城转债,205.585,-0.26,205.33,-261.06,0.181,5.322,6713.29,6.12,AA+,600461,洪城环境,9.09,-0.55,1.17,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-15,,113615,金诚转债,715.286,10.01,725.3,-314.12,0.271,4.958,18022.24,5.03,AA,603979,金诚信,72.3,-2.11,3.64,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-15,,132026,G三峡EB2,136.556,1.6,138.16,-29.49,0.71,94.986,5242.58,0.4,AAA,600900,长江电力,28.5,-0.45,3.23,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-15,,111000,起帆转债,140.036,5.96,146.0,-26.0,0.688,9.991,40855.39,28.85,AA-,605222,起帆电缆,22.85,1.65,1.92,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-15,,123258,胜蓝转02,248.6,1.99,250.59,,,4.49,99051.09,87.8,AA-,300843,胜蓝股份,132.5,-0.29,12.57,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-15,,123245,集智转债,335.0,10.18,345.18,-23.36,3.915,1.537,38109.95,73.25,A,300553,集智股份,54.91,-1.33,7.21,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-15,,110081,闻泰转债,102.899,13.26,116.16,5.74,0.866,71.5,6215.25,0.84,BBB+,600745,*ST闻泰,16.68,-0.3,0.87,,,st_stock,,,,,,
