snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-09,1.0,127061,美锦转债,113.998,1.69,115.69,3.55,1.614,27.742,8597.84,2.73,A,000723,美锦能源,3.89,0.26,1.38,,0.3125,,0.25,0.25,0.25,0.5,0.25,1.0
2026-09-09,2.0,113056,重银转债,126.852,4.52,131.37,-7.63,1.537,115.622,10363.03,0.71,AAA,601963,重庆银行,11.19,0.72,0.6,,0.5837500000000001,,0.75,0.5,0.5,0.25,1.0,0.375
2026-09-09,3.0,127030,盛虹转债,119.49,11.47,130.96,-18.09,0.532,49.974,7204.73,1.21,AA+,000301,东方盛虹,14.16,-0.28,2.41,,0.7675000000000001,,0.5,1.0,1.0,0.75,0.5,0.75
2026-09-09,4.0,113062,常银转债,128.45,5.2,133.65,-7.8,2.019,59.994,6324.34,0.82,AAA,601128,常熟银行,6.41,-0.47,0.7,,0.8362499999999999,,1.0,0.75,0.75,1.0,0.75,0.375
2026-09-09,,123285,润禾转02,100.0,-1.58,98.42,2.82,6.003,3.7,0.0,0.0,A+,300727,润禾材料,31.6,-1.0,4.21,,,liquidity_too_low,,,,,,
2026-09-09,,113605,大参转债,113.076,4.29,117.37,-23.63,0.118,14.044,3041.52,1.92,AA,603233,大参林,18.28,0.22,2.69,,,maturity_too_close,,,,,,
2026-09-09,,113042,上银转债,117.881,2.64,120.52,-13.2,0.378,199.774,23316.95,0.99,AAA,601229,上海银行,9.59,0.42,0.51,,,maturity_too_close,,,,,,
2026-09-09,,128136,立讯转债,111.745,11.36,123.11,-22.66,0.151,29.816,25335.23,7.59,AA+,002475,立讯精密,55.86,1.45,4.62,,,maturity_too_close,,,,,,
2026-09-09,,113043,财通转债,115.333,8.66,123.99,-32.46,0.252,37.992,9009.2,2.05,AAA,601108,财通证券,8.47,-0.59,1.0,,,maturity_too_close,,,,,,
2026-09-09,,123091,长海转债,125.521,9.72,135.24,-40.61,0.288,5.461,13196.6,19.0,AA,300196,长海股份,16.92,1.32,1.43,,,maturity_too_close,,,,,,
2026-09-09,,128134,鸿路转债,117.6,4.51,122.11,-81.29,0.082,12.985,7890.44,5.17,AA,002541,鸿路钢构,19.68,-2.43,1.36,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-09,,113046,金田转债,132.258,1.46,133.72,-31.66,0.532,14.992,21565.22,10.74,AA+,601609,金田股份,13.27,-0.9,2.22,,,price_too_high,,,,,,
2026-09-09,,127047,帝欧转债,137.75,2.56,140.31,-13.68,1.126,4.654,2918.72,4.55,BBB+,002798,帝欧水华,6.85,-0.44,1.97,,,price_too_high,,,,,,
2026-09-09,,113631,皖天转债,135.098,11.05,146.15,-15.18,1.164,5.958,3000.82,3.72,AA+,603689,皖天然气,7.92,0.38,1.11,,,price_too_high,,,,,,
2026-09-09,,113066,平煤转债,138.847,7.34,146.19,-9.03,2.518,14.274,9868.88,4.95,AAA,601666,平煤股份,9.65,2.66,0.95,,,price_too_high,,,,,,
2026-09-09,,113681,镇洋转债,137.851,9.62,147.47,-4.36,3.307,5.476,2177.17,2.88,AA-,603213,镇洋发展,13.77,-0.07,3.29,,,price_too_high,,,,,,
2026-09-09,,123160,泰福转债,146.5,10.45,156.95,-9.74,2.055,2.315,3229.29,9.45,A,300992,泰福泵业,26.13,-1.32,2.71,,,price_too_high,,,,,,
2026-09-09,,123243,严牌转债,228.301,0.02,228.32,-15.96,3.836,2.593,174940.43,297.9,A+,301081,严牌股份,16.48,5.3,3.36,,,price_too_high,,,,,,
2026-09-09,,127080,声迅转债,263.68,7.12,270.8,-29.58,2.31,2.793,22367.89,29.67,A,003004,声迅股份,71.24,-6.81,8.45,,,price_too_high,,,,,,
2026-09-09,,128138,侨银转债,130.906,8.92,139.83,-3.72,0.189,4.199,4300.25,7.82,A+,002973,侨银股份,12.74,2.66,2.02,,,price_too_high|maturity_too_close,,,,,,
