snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-02,1.0,127061,美锦转债,113.125,2.22,115.35,4.0,1.633,27.742,19109.92,6.03,A,000723,美锦能源,3.84,-3.76,1.36,,0.39999999999999997,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
2026-09-02,2.0,113056,重银转债,127.083,3.23,130.31,-7.65,1.556,115.622,25639.31,1.74,AAA,601963,重庆银行,11.35,-0.87,0.61,,0.6483333333333333,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-02,3.0,113062,常银转债,128.812,6.67,135.48,-7.86,2.038,59.994,8013.69,1.04,AAA,601128,常熟银行,6.34,-0.16,0.69,,0.9516666666666667,,1.0,1.0,1.0,1.0,0.6666666666666666,0.5
2026-09-02,,123284,强达转债,100.0,-19.37,80.63,2.2,5.964,5.5,0.0,0.0,AA-,301628,强达电路,104.23,0.53,6.59,,,liquidity_too_low,,,,,,
2026-09-02,,113710,四方转债,100.0,-3.82,96.18,2.15,6.003,10.234,0.0,0.0,AA,603339,四方科技,15.46,-3.86,1.72,,,liquidity_too_low,,,,,,
2026-09-02,,123283,丰茂转债,100.0,10.67,110.67,2.2,5.962,6.075,0.0,0.0,AA-,301459,丰茂股份,32.16,0.25,2.62,,,liquidity_too_low,,,,,,
2026-09-02,,113605,大参转债,113.426,5.77,119.2,-22.51,0.137,14.044,3869.24,2.42,AA,603233,大参林,18.08,-1.79,2.66,,,maturity_too_close,,,,,,
2026-09-02,,113042,上银转债,118.285,2.56,120.85,-13.37,0.397,199.774,30456.07,1.29,AAA,601229,上海银行,9.63,-0.52,0.51,,,maturity_too_close,,,,,,
2026-09-02,,113043,财通转债,118.3,9.01,127.31,-38.72,0.271,37.992,8590.71,1.91,AAA,601108,财通证券,8.66,-2.7,1.02,,,maturity_too_close,,,,,,
2026-09-02,,128136,立讯转债,116.0,13.13,129.13,-41.27,0.17,29.817,11001.15,3.18,AA+,002475,立讯精密,57.08,0.28,4.72,,,maturity_too_close,,,,,,
2026-09-02,,128134,鸿路转债,121.55,2.06,123.61,-96.37,0.101,13.197,9661.0,6.09,AA,002541,鸿路钢构,20.83,-1.75,1.41,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-02,,113046,金田转债,136.108,2.94,139.05,-34.83,0.551,14.992,9679.34,4.74,AA+,601609,金田股份,13.46,0.0,2.25,,,price_too_high,,,,,,
2026-09-02,,113058,友发转债,132.649,12.98,145.63,-9.37,1.575,18.638,4960.93,2.01,AA,601686,友发集团,5.26,-0.19,1.1,,,price_too_high,,,,,,
2026-09-02,,113681,镇洋转债,138.866,8.77,147.64,-4.55,3.326,5.476,2497.6,3.28,AA-,603213,镇洋发展,13.98,-0.43,3.34,,,price_too_high,,,,,,
2026-09-02,,113066,平煤转债,138.564,10.08,148.64,-8.89,2.537,14.274,18831.66,9.5,AAA,601666,平煤股份,9.39,-2.69,0.92,,,price_too_high,,,,,,
2026-09-02,,113631,皖天转债,136.771,13.42,150.19,-15.84,1.184,5.958,3351.13,4.11,AA+,603689,皖天然气,7.85,0.38,1.1,,,price_too_high,,,,,,
2026-09-02,,127047,帝欧转债,139.8,11.75,151.55,-14.58,1.145,4.654,2916.99,4.49,BBB+,002798,帝欧水华,6.38,0.47,1.83,,,price_too_high,,,,,,
2026-09-02,,123243,严牌转债,223.5,1.55,225.05,-15.42,3.855,2.607,29250.94,50.36,A+,301081,严牌股份,15.89,-0.75,3.24,,,price_too_high,,,,,,
2026-09-02,,123258,胜蓝转02,262.4,12.85,275.25,-15.04,4.989,4.498,200994.71,162.91,AA-,300843,胜蓝股份,126.4,-0.47,11.99,,,price_too_high,,,,,,
2026-09-02,,127080,声迅转债,275.001,9.43,284.43,-30.65,2.329,2.793,23009.91,29.84,A,003004,声迅股份,72.73,0.68,8.62,,,price_too_high,,,,,,
2026-09-02,,128138,侨银转债,131.08,8.72,139.8,-4.01,0.208,4.199,5960.91,10.83,A+,002973,侨银股份,12.78,1.67,2.03,,,price_too_high|maturity_too_close,,,,,,
2026-09-02,,110077,洪城转债,203.381,0.44,203.82,-214.85,0.216,5.837,3392.8,2.86,AA+,600461,洪城环境,8.93,-0.33,1.15,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-02,,113615,金诚转债,759.627,7.14,766.77,-280.36,0.307,4.958,37783.1,10.1,AA,603979,金诚信,78.84,-4.09,3.97,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-02,,132026,G三峡EB2,136.8,1.0,137.8,-28.27,0.745,94.986,11533.05,0.89,AAA,600900,长江电力,28.72,1.13,3.25,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,123112,万讯转债,138.95,-0.73,138.22,,,1.863,37272.14,141.09,AA-,300112,万讯自控,9.0,-5.26,2.65,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,111000,起帆转债,138.018,12.67,150.69,-23.06,0.723,9.991,8894.17,6.41,AA-,605222,起帆电缆,21.18,-0.47,1.78,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,127067,恒逸转2,179.39,-0.04,179.35,,,2.589,88645.15,186.61,AA+,000703,恒逸石化,18.52,-2.42,2.32,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,123207,冠中转债,222.807,7.49,230.3,-19.8,2.885,1.455,28459.18,87.16,A-,300948,冠中生态,21.64,1.12,3.54,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,118058,微导转债,377.705,9.01,386.72,-21.81,4.929,11.698,272402.45,60.01,AA,688147,微导纳米,115.35,-4.42,17.32,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-02,,110081,闻泰转债,107.162,4.88,112.04,0.87,0.901,72.051,22455.69,2.9,BBB+,600745,*ST闻泰,18.76,1.24,0.98,,,st_stock,,,,,,
