代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123284,强达转债,100.0,0.0,301628,强达电路,103.68,1.01,6.55,84.04,123.37,-18.94,AA-,58.828,109.252,18.3,2032-08-18,5.967,5.5,0.0,0.0,2.2,81.06
113710,四方转债,100.0,0.0,603339,四方科技,16.08,7.34,1.78,14.87,108.14,-7.52,AA,10.409,19.331,20.6,2032-09-02,6.003,10.234,0.0,0.0,2.15,92.48
123112,万讯转债,147.3,-1.8,300112,万讯自控,9.5,-1.76,2.8,6.43,147.75,-0.3,AA-,4.501,8.359,8.1,2027-04-08,,1.934,41744.86,151.08,,147.0
127067,恒逸转2,183.813,-2.85,000703,恒逸石化,18.98,-2.77,2.38,10.32,183.92,-0.06,AA+,7.224,13.416,0.3,2028-07-21,,3.693,109931.45,223.87,,183.75
127061,美锦转债,114.96,0.61,000723,美锦能源,3.99,2.31,1.41,3.47,114.99,-0.02,A,2.429,4.511,15.9,2028-04-20,1.636,27.856,36853.84,11.39,2.96,114.94
110077,洪城转债,203.968,0.61,600461,洪城环境,8.96,0.9,1.15,4.41,203.18,0.39,AA+,3.087,5.733,5.0,2026-11-20,0.219,5.837,6980.52,5.85,-212.89,204.36
128134,鸿路转债,122.2,1.5,002541,鸿路钢构,21.2,0.81,1.43,17.49,121.21,0.81,AA,12.243,22.737,12.5,2026-10-09,0.104,15.279,33879.98,21.11,-98.46,123.01
132026,G三峡EB2,135.895,1.28,600900,长江电力,28.4,1.1,3.22,21.2,133.96,1.46,AAA,14.84,27.56,1.4,2027-06-01,0.748,94.986,6474.12,0.5,-27.47,137.36
123243,严牌转债,225.475,0.26,301081,严牌股份,16.01,2.89,3.26,7.22,221.75,1.68,A+,5.054,9.386,7.3,2030-07-10,3.858,2.607,112474.53,188.73,-15.61,227.16
113042,上银转债,118.134,0.72,601229,上海银行,9.68,2.11,0.51,8.35,115.93,1.9,AAA,,10.855,14.5,2027-01-25,0.4,199.774,40908.58,1.74,-12.98,120.03
113056,重银转债,127.841,0.4,601963,重庆银行,11.45,2.32,0.62,9.22,124.19,2.94,AAA,,11.986,49.6,2028-03-23,1.559,115.622,16106.0,1.09,-7.99,130.78
113046,金田转债,136.223,-1.17,601609,金田股份,13.46,-0.22,2.25,10.18,132.22,3.03,AA+,7.126,13.234,6.4,2027-03-22,0.553,14.992,7953.32,3.87,-34.79,139.25
113605,大参转债,114.401,-0.01,603233,大参林,18.41,-0.22,2.71,16.86,109.19,4.77,AA,11.802,21.918,6.7,2026-10-22,0.14,14.044,4066.25,2.53,-28.08,119.17
113615,金诚转债,776.289,-0.59,603979,金诚信,82.2,0.59,4.14,11.12,739.21,5.02,AA,7.784,14.456,1.0,2026-12-23,0.31,4.958,49112.78,12.66,-278.92,781.31
110081,闻泰转债,107.085,-0.91,600745,*ST闻泰,18.53,-3.09,0.97,18.36,100.93,6.1,BBB+,12.852,23.868,29.4,2027-07-28,0.904,72.051,21786.22,2.8,0.95,113.19
113043,财通转债,118.685,-0.14,601108,财通证券,8.9,0.11,1.05,7.98,111.53,6.42,AAA,,10.374,9.2,2026-12-10,0.274,37.992,10336.89,2.29,-39.41,125.11
113062,常银转债,129.203,0.51,601128,常熟银行,6.35,2.58,0.69,5.25,120.95,6.82,AAA,,6.825,25.9,2028-09-15,2.041,59.994,11845.51,1.53,-7.99,136.02
