代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123284,强达转债,100.0,0.0,301628,强达电路,104.23,0.53,6.59,84.04,124.02,-19.37,AA-,58.828,109.252,18.2,2032-08-18,5.964,5.5,0.0,0.0,2.2,80.63
113710,四方转债,100.0,0.0,603339,四方科技,15.46,-3.86,1.72,14.87,103.97,-3.82,AA,10.409,19.331,21.4,2032-09-02,6.003,10.234,0.0,0.0,2.15,96.18
123112,万讯转债,138.95,-5.67,300112,万讯自控,9.0,-5.26,2.65,6.43,139.97,-0.73,AA-,4.501,8.359,8.5,2027-04-08,,1.863,37272.14,141.09,,138.22
127067,恒逸转2,179.39,-2.41,000703,恒逸石化,18.52,-2.42,2.32,10.32,179.46,-0.04,AA+,7.224,13.416,0.3,2028-07-21,,2.589,88645.15,186.61,,179.35
110077,洪城转债,203.381,-0.29,600461,洪城环境,8.93,-0.33,1.15,4.41,202.49,0.44,AA+,3.087,5.733,5.0,2026-11-20,0.216,5.837,3392.8,2.86,-214.85,203.82
132026,G三峡EB2,136.8,0.86,600900,长江电力,28.72,1.13,3.25,21.2,135.47,1.0,AAA,14.84,27.56,1.4,2027-06-01,0.745,94.986,11533.05,0.89,-28.27,137.8
123243,严牌转债,223.5,-0.88,301081,严牌股份,15.89,-0.75,3.24,7.22,220.08,1.55,A+,5.054,9.386,7.3,2030-07-10,3.855,2.607,29250.94,50.36,-15.42,225.05
128134,鸿路转债,121.55,-0.53,002541,鸿路钢构,20.83,-1.75,1.41,17.49,119.1,2.06,AA,12.243,22.737,12.4,2026-10-09,0.101,13.197,9661.0,6.09,-96.37,123.61
127061,美锦转债,113.125,-1.6,000723,美锦能源,3.84,-3.76,1.36,3.47,110.66,2.22,A,2.429,4.511,16.4,2028-04-20,1.633,27.742,19109.92,6.03,4.0,115.35
113042,上银转债,118.285,0.13,601229,上海银行,9.63,-0.52,0.51,8.35,115.33,2.56,AAA,,10.855,14.6,2027-01-25,0.397,199.774,30456.07,1.29,-13.37,120.85
113046,金田转债,136.108,-0.08,601609,金田股份,13.46,0.0,2.25,10.18,132.22,2.94,AA+,7.126,13.234,6.4,2027-03-22,0.551,14.992,9679.34,4.74,-34.83,139.05
