代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
127067,恒逸转2,183.813,000703,恒逸石化,30.0,2.589,2023-01-30,2026-09-03,2028-07-21,10.32,130,13.416,18.98,100.25,26/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123112,万讯转债,147.3,300112,万讯自控,2.457,1.863,2021-10-14,2026-09-11,2027-04-08,6.43,130,8.359,9.5,101.332,19/15 | 30,如果公司股票连续三十个交易日中至少有十 五个交易日的收盘价不低于当期转股价格的 130%(含 130%),已公告强赎
128134,鸿路转债,122.2,002541,鸿路钢构,18.8,13.197,2021-04-15,2026-09-28,2026-10-09,17.49,130,22.737,21.2,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-09-28 最后交易",如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),已公告强赎
127078,优彩转债,164.303,002998,优彩资源,6.0,4.158,2023-06-20,,2028-12-14,6.11,130,7.943,8.57,,13/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123261,普联转债,166.453,300996,普联软件,2.43,2.428,2026-06-11,,2031-12-05,12.97,130,16.861,14.36,,12/15 | 30,如果公司 A 股股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
123258,胜蓝转02,328.0,300843,胜蓝股份,4.5,4.498,2026-03-03,,2031-08-28,54.36,130,70.668,127.0,,9/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127109,电化转债,153.8,002125,湘潭电化,4.87,4.866,2025-12-22,,2031-06-16,9.99,130,12.987,12.73,,5/15 | 30,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113066,平煤转债,139.361,601666,平煤股份,29.0,14.274,2023-09-22,,2029-03-16,7.46,130,9.698,9.65,,5/15 | 30,如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含）,
113046,金田转债,136.223,601609,金田股份,15.0,14.992,2021-09-27,,2027-03-22,10.18,130,13.234,13.46,,5/15 | 30,如果本公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%(含 130%),
123118,惠城转债,770.002,300779,惠城环保,3.2,0.654,2022-01-13,,2027-07-07,10.33,130,13.429,61.43,,4/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123243,严牌转债,225.475,301081,严牌股份,4.679,2.607,2025-01-16,,2030-07-10,7.22,130,9.386,16.01,,4/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113699,金25转债,199.838,603979,金诚信,20.0,19.998,2026-04-10,,2031-09-26,62.8,130,81.64,82.2,,3/15 | 30,如果公司A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。,
113673,岱美转债,189.953,603730,岱美股份,9.079,9.078,2024-01-24,,2029-07-18,7.12,130,9.256,10.33,,3/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
127080,声迅转债,276.2,003004,声迅股份,2.8,2.793,2023-07-07,,2028-12-30,28.94,130,37.622,72.24,,2/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123160,泰福转债,161.516,300992,泰福泵业,3.349,2.315,2023-04-11,,2028-09-28,19.7,130,25.61,26.73,,1/15 | 30,如果公司股票在连续 30 个交易日中至少 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
118016,京源转债,154.727,688096,京源环保,3.325,1.675,2023-02-13,,2028-08-05,6.91,130,8.983,8.85,,1/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），,
123235,亿田转债,168.048,300911,亿田智能,5.202,4.352,2024-06-27,,2029-12-21,21.31,130,27.703,28.98,,1/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
118013,道通转债,174.299,688208,道通科技,12.8,12.796,2023-01-16,,2028-07-08,21.48,130,27.924,25.89,,7/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123114,三角转债,128.077,300775,三角防务,9.044,8.999,2021-11-30,,2027-05-25,22.69,130,29.497,22.03,,0/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价格不低于当期转股价格的130%(含130%),
123113,仙乐转债,114.963,300791,仙乐健康,10.249,10.248,2021-10-25,,2027-04-19,31.69,130,41.197,17.85,,0/20 | 30,如果公司股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的130%(含130%),
123173,恒锋转债,139.334,300605,恒锋信息,2.424,2.33,2023-07-06,,2028-12-30,10.0,130,13.0,10.81,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,
123175,百畅转债,119.495,300614,百川畅银,4.2,4.199,2023-08-28,,2029-02-22,20.4,130,26.52,11.11,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123211,阳谷转债,155.001,300121,阳谷华泰,6.5,3.07,2024-02-02,,2029-07-27,9.2,130,11.96,9.83,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）；,
123172,漱玉转债,130.534,301017,漱玉平民,8.0,7.96,2023-06-21,,2028-12-15,14.91,130,19.383,13.58,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123178,花园转债,140.167,300401,花园生物,12.0,11.58,2023-09-11,,2029-03-06,13.34,130,17.342,14.49,,0/15 | 30,公司股票任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123214,东宝转债,130.5,300239,东宝生物,4.55,4.549,2024-02-05,,2029-07-31,6.62,130,8.606,5.19,,0/15 | 30,如果公司 A 股股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123216,科顺转债,123.426,300737,科顺股份,21.98,21.959,2024-02-19,,2029-08-04,6.61,130,8.593,4.9,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123215,铭利转债,123.46,301268,铭利达,10.0,8.555,2024-02-19,,2029-08-03,19.19,130,24.947,13.2,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123168,惠云转债,128.565,300891,惠云钛业,4.9,4.899,2023-05-29,,2028-11-23,10.74,130,13.962,7.61,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123171,共同转债,129.844,300966,共同药业,3.8,3.799,2023-06-02,,2028-11-28,27.08,130,35.204,24.08,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123179,立高转债,121.8,300973,立高食品,9.5,9.499,2023-09-13,,2029-03-07,94.64,130,123.032,26.46,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123209,聚隆转债,165.127,300644,南京聚隆,2.185,1.672,2024-02-01,,2029-07-26,17.52,130,22.776,20.8,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%；,
123193,海能转债,128.143,300787,海能实业,6.0,5.997,2023-10-19,,2029-04-13,14.5,130,18.85,10.31,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
123195,蓝晓转02,170.594,300487,蓝晓科技,5.461,5.455,2023-10-23,,2029-04-17,59.21,130,76.973,60.79,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；,
123194,百洋转债,136.0,301015,百洋医药,8.6,8.459,2023-10-20,,2029-04-14,24.79,130,32.227,24.16,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123165,回天转债,134.691,300041,回天新材,8.5,8.496,2023-05-04,,2028-10-27,15.05,130,19.565,10.92,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123196,正元转02,128.799,300645,正元智慧,3.507,3.501,2023-10-24,,2029-04-18,21.91,130,28.483,14.21,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123199,山河转债,140.6,300452,山河药辅,3.2,3.197,2023-12-18,,2029-06-12,13.0,130,16.9,12.98,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
123183,海顺转债,130.475,300501,海顺新材,6.33,6.329,2023-10-09,,2029-03-23,11.63,130,15.119,10.32,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123189,晓鸣转债,140.623,300967,晓鸣股份,3.29,3.286,2023-10-12,,2029-04-06,15.18,130,19.734,17.91,,0/15 | 30,在本次可转债转股期内，如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123192,科思转债,124.599,300856,科思股份,7.249,7.187,2023-10-19,,2029-04-13,17.32,130,22.516,10.87,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123180,浙矿转债,129.444,300837,浙矿股份,3.2,3.196,2023-09-15,,2029-03-09,47.59,130,61.867,23.58,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
123150,九强转债,133.753,300406,九强生物,11.39,11.21,2023-01-06,,2028-06-30,11.6,130,15.08,11.85,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123091,长海转债,128.17,300196,长海股份,5.5,5.461,2021-06-29,,2026-12-23,14.99,130,19.487,16.81,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
110075,南航转债,106.386,600029,南方航空,160.0,58.959,2021-04-21,,2026-10-15,6.17,130,8.021,5.01,,0/15 | 30,如果公司A股股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123092,天壕转债,119.215,300332,天壕能源,4.23,3.416,2021-06-30,,2026-12-24,4.97,130,6.461,5.13,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123104,卫宁转债,127.786,300253,卫宁健康,9.703,9.699,2021-09-22,,2027-03-16,7.02,130,9.126,7.23,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123107,温氏转债,114.2,300498,温氏股份,92.97,77.063,2021-10-08,,2027-03-29,16.09,130,20.917,14.44,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123088,威唐转债,115.851,300707,威唐工业,3.014,3.004,2021-06-21,,2026-12-15,14.97,130,19.461,12.3,,0/15 | 30,如果公司A股股票在连续三十个交易日内至少有十五个交易日的收盘价不低于当期转股价格的130%(含 130%),
123080,海波转债,126.0,300517,海波重科,2.45,1.485,2021-06-08,,2026-12-02,11.28,130,14.664,11.13,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),
118065,艾为转债,143.176,688798,艾为电子,19.01,19.01,2026-07-28,,2032-01-22,79.4,130,103.22,65.0,,0/15 | 30,公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
118063,金05转债,147.688,688676,金盘科技,16.71,16.707,2026-07-01,,2031-12-25,88.6,130,115.18,64.46,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）,
123071,天能转债,114.753,300569,天能重工,7.0,6.937,2021-04-27,,2026-10-21,6.68,130,8.684,4.77,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123072,乐歌转债,119.72,300729,乐歌股份,1.42,1.418,2021-04-27,,2026-10-21,32.61,130,42.393,10.71,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),
123076,强力转债,126.42,300429,强力新材,8.5,3.393,2021-05-25,,2026-11-19,10.6,130,13.78,11.41,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123109,昌红转债,122.897,300151,昌红科技,4.6,4.595,2021-10-08,,2027-04-01,26.64,130,34.632,16.13,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123117,健帆转债,110.195,300529,健帆生物,10.0,9.998,2021-12-29,,2027-06-23,38.15,130,49.595,15.75,,0/15 | 30,在转股期内，如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
123220,易瑞转债,130.549,300942,易瑞生物,3.28,2.907,2024-02-26,,2029-08-18,8.85,130,11.505,6.77,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123149,通裕转债,131.305,300185,通裕重工,14.847,11.069,2022-12-26,,2028-06-20,2.71,130,3.523,2.73,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123151,康医转债,120.25,300869,康泰医学,7.0,6.998,2023-01-09,,2028-07-01,27.55,130,35.815,11.54,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123154,火星转债,126.75,300894,火星人,5.29,5.289,2023-02-13,,2028-08-05,16.0,130,20.8,11.37,,0/15 | 30,如果公司 A 股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123155,中陆转债,135.998,301040,中环海陆,3.6,3.6,2023-02-20,,2028-08-12,31.76,130,41.288,29.15,,0/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123144,裕兴转债,131.538,300305,裕兴股份,6.0,5.997,2022-10-17,,2028-04-11,7.0,130,9.1,6.47,,0/15 | 30,如果公司A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）,
123142,申昊转债,124.456,300853,申昊科技,5.5,5.494,2022-09-26,,2028-03-18,33.71,130,43.823,27.86,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
