代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,35.33,2.32,4.7,31.1,113.6,-11.97,A+,21.77,40.43,6.5,2032-09-09,5.981,3.7,0.0,0.0,2.83,88.03
123258,胜蓝转02,266.145,1.87,300843,胜蓝股份,144.81,1.98,13.74,54.36,266.39,-0.09,AA-,38.052,70.668,1.8,2031-08-28,,4.231,120358.77,107.41,,266.06
110077,洪城转债,202.833,0.19,600461,洪城环境,8.95,0.45,1.18,4.41,202.95,-0.06,AA+,3.087,5.733,4.5,2026-11-20,0.173,5.252,5501.45,5.15,-269.38,202.77
113046,金田转债,131.697,0.7,601609,金田股份,13.28,2.0,2.22,10.18,130.45,0.95,AA+,7.126,13.234,6.5,2027-03-22,0.507,14.991,17038.07,8.64,-32.51,132.65
132026,G三峡EB2,136.28,-0.7,600900,长江电力,28.27,-0.67,3.2,21.2,133.35,2.22,AAA,14.84,27.56,1.4,2027-06-01,0.701,94.986,3654.93,0.28,-29.61,138.5
123091,长海转债,141.933,-1.74,300196,长海股份,20.51,-0.97,1.74,14.79,138.68,2.35,AA,10.353,19.227,10.8,2026-12-23,0.263,5.46,73974.92,95.51,-83.73,144.28
113042,上银转债,117.271,-0.37,601229,上海银行,9.56,-0.31,0.51,8.35,114.49,2.43,AAA,,10.855,14.1,2027-01-25,0.353,192.16,18171.14,0.8,-12.72,119.7
113605,大参转债,111.81,0.09,603233,大参林,18.38,0.38,2.71,16.86,109.02,2.56,AA,11.802,21.918,6.7,2026-10-22,0.093,14.044,12262.46,7.77,-17.91,114.37
127047,帝欧转债,134.216,-0.42,002798,帝欧水华,6.64,0.15,1.91,5.1,130.2,3.09,BBB+,3.57,6.63,13.6,2027-10-25,1.101,4.654,4414.12,7.04,-11.88,137.31
128138,侨银转债,133.116,0.44,002973,侨银股份,13.56,0.0,2.15,10.6,127.93,4.06,A+,7.42,13.78,9.7,2026-11-17,0.164,4.199,6772.57,12.14,-14.49,137.18
128134,鸿路转债,111.33,-0.33,002541,鸿路钢构,18.61,1.2,1.28,17.49,106.4,4.63,AA,12.243,22.737,13.5,2026-10-09,0.058,12.849,9587.54,6.71,-21.8,115.96
123160,泰福转债,165.022,-3.5,300992,泰福泵业,30.85,2.46,3.2,19.7,156.6,5.38,A,13.79,25.61,9.6,2028-09-28,2.03,2.314,50660.5,128.7,-15.1,170.4
