代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,36.45,4.74,4.85,31.1,117.2,-14.68,A+,21.77,40.43,6.3,2032-09-09,5.967,3.7,0.0,0.0,2.84,85.32
123287,满坤转债,100.0,0.0,301132,满坤科技,74.56,9.12,6.13,66.97,111.33,-10.18,AA-,46.879,87.061,10.8,2032-09-27,6.003,7.6,0.0,0.0,2.18,89.82
127117,奥士转债,100.0,0.0,002913,奥士康,90.86,3.11,6.55,83.96,108.22,-7.59,AA,58.772,109.148,3.6,2032-09-22,6.003,10.0,0.0,0.0,2.16,92.41
113711,常青转债,100.0,0.0,603125,常青科技,24.52,3.11,3.86,24.01,102.12,-2.08,AA-,16.807,31.213,8.1,2032-09-27,6.003,8.0,0.0,0.0,2.18,97.92
118027,宏图转债,93.214,-0.6,688066,*ST航图,8.18,-3.76,-1.58,8.68,94.24,-1.09,CC,6.076,11.284,29.0,2028-11-28,2.184,6.96,16940.07,26.18,12.15,92.12
123258,胜蓝转02,247.536,-1.26,300843,胜蓝股份,134.94,-1.14,12.8,54.36,248.23,-0.28,AA-,38.052,70.668,1.4,2031-08-28,,3.499,75397.31,100.75,,247.26
110077,洪城转债,200.206,-0.07,600461,洪城环境,8.84,0.11,1.16,4.41,200.45,-0.12,AA+,3.087,5.733,4.3,2026-11-20,0.159,5.069,4477.26,4.42,-288.45,200.09
113046,金田转债,125.929,-2.44,601609,金田股份,12.79,-3.47,2.14,10.18,125.64,0.23,AA+,7.126,13.234,6.2,2027-03-22,0.493,13.656,49886.42,29.09,-25.65,126.16
123286,国科转债,100.0,0.0,301571,国科天成,74.15,-1.13,6.28,74.5,99.53,0.47,AA-,52.15,96.85,9.6,2032-09-22,6.003,8.49,0.0,0.0,2.19,100.47
128134,鸿路转债,113.6,2.96,002541,鸿路钢构,19.69,10.0,1.36,17.49,112.58,0.91,AA,12.243,22.737,7.7,2026-10-09,0.044,10.036,44428.59,49.52,-77.11,114.51
127047,帝欧转债,132.209,-0.8,002798,帝欧水华,6.67,-0.3,1.92,5.1,130.78,1.09,BBB+,3.57,6.63,13.5,2027-10-25,1.088,4.654,3706.58,6.01,-10.78,133.3
