snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-10,1.0,127061,美锦转债,114.049,1.21,115.26,3.53,1.611,27.742,14320.63,4.54,A,000723,美锦能源,3.91,0.51,1.38,,0.39999999999999997,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
2026-09-10,2.0,113056,重银转债,127.266,3.11,130.38,-7.84,1.534,115.622,16190.33,1.1,AAA,601963,重庆银行,11.38,1.7,0.61,,0.6483333333333333,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-10,3.0,113062,常银转债,128.718,4.61,133.33,-7.91,2.016,59.994,12664.24,1.64,AAA,601128,常熟银行,6.46,0.78,0.7,,0.9516666666666667,,1.0,1.0,1.0,1.0,0.6666666666666666,0.5
2026-09-10,,123285,润禾转02,100.0,3.01,103.01,2.82,6.003,3.7,0.0,0.0,A+,300727,润禾材料,30.19,-4.46,4.02,,,liquidity_too_low,,,,,,
2026-09-10,,113605,大参转债,112.216,5.4,117.62,-17.59,0.115,14.044,4873.66,3.1,AA,603233,大参林,17.95,-1.81,2.64,,,maturity_too_close,,,,,,
2026-09-10,,113042,上银转债,118.326,0.92,119.25,-14.25,0.375,199.774,40402.0,1.71,AAA,601229,上海银行,9.79,2.09,0.52,,,maturity_too_close,,,,,,
2026-09-10,,113043,财通转债,116.52,8.5,125.02,-36.61,0.249,37.992,11759.13,2.68,AAA,601108,财通证券,8.57,1.18,1.01,,,maturity_too_close,,,,,,
2026-09-10,,123092,天壕转债,117.85,12.42,130.27,-8.49,0.288,3.416,10163.62,25.11,A+,300332,天壕能源,5.21,1.36,1.13,,,maturity_too_close,,,,,,
2026-09-10,,123091,长海转债,126.758,8.12,134.88,-44.05,0.285,5.461,44854.8,64.24,AA,300196,长海股份,17.34,2.48,1.47,,,maturity_too_close,,,,,,
2026-09-10,,128134,鸿路转债,115.379,4.45,119.83,-60.78,0.08,12.913,5536.5,3.71,AA,002541,鸿路钢构,19.32,-1.83,1.33,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-10,,113046,金田转债,130.514,0.27,130.78,-29.72,0.529,14.991,34662.92,17.72,AA+,601609,金田股份,13.25,-0.15,2.21,,,price_too_high,,,,,,
2026-09-10,,127047,帝欧转债,136.58,1.84,138.42,-13.04,1.123,4.654,3071.18,4.85,BBB+,002798,帝欧水华,6.84,-0.15,1.97,,,price_too_high,,,,,,
2026-09-10,,113058,友发转债,130.86,11.03,141.89,-8.7,1.553,18.638,4749.39,1.95,AA,601686,友发集团,5.28,0.19,1.1,,,price_too_high,,,,,,
2026-09-10,,111015,东亚转债,133.411,9.49,142.9,-4.18,2.822,6.662,22153.67,25.21,A+,605177,东亚药业,24.71,8.47,1.66,,,price_too_high,,,,,,
2026-09-10,,113631,皖天转债,134.472,11.23,145.7,-14.87,1.162,5.958,6017.77,7.53,AA+,603689,皖天然气,7.87,-0.63,1.1,,,price_too_high,,,,,,
2026-09-10,,113066,平煤转债,138.106,8.11,146.22,-8.84,2.515,14.274,9170.53,4.67,AAA,601666,平煤股份,9.53,-1.24,0.93,,,price_too_high,,,,,,
2026-09-10,,113681,镇洋转债,137.227,9.76,146.99,-4.23,3.304,5.476,2997.85,4.0,AA-,603213,镇洋发展,13.69,-0.58,3.27,,,price_too_high,,,,,,
2026-09-10,,123243,严牌转债,224.2,0.98,225.18,-15.57,3.833,2.559,61229.1,107.67,A+,301081,严牌股份,16.03,-2.73,3.27,,,price_too_high,,,,,,
2026-09-10,,127080,声迅转债,265.064,7.71,272.77,-29.77,2.307,2.793,42932.28,59.58,A,003004,声迅股份,71.22,-0.03,8.45,,,price_too_high,,,,,,
2026-09-10,,110077,洪城转债,202.984,-0.09,202.89,-238.84,0.195,5.506,6776.92,6.07,AA+,600461,洪城环境,8.96,0.0,1.15,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-10,,113615,金诚转债,788.525,9.41,797.94,-304.03,0.285,4.958,44011.61,11.32,AA,603979,金诚信,80.14,-2.92,4.03,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-10,,132026,G三峡EB2,136.001,2.66,138.66,-28.49,0.723,94.986,8075.83,0.63,AAA,600900,长江电力,28.09,0.14,3.18,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-10,,111000,起帆转债,141.472,6.17,147.64,-26.68,0.701,9.991,22720.25,16.07,AA-,605222,起帆电缆,23.04,-1.66,1.93,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-10,,123112,万讯转债,146.888,1.56,148.45,,,1.062,300461.39,1894.27,AA-,300112,万讯自控,9.3,3.91,2.81,已公告强赎,,price_too_high|redeem_risk,,,,,,
