snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-11,1.0,127061,美锦转债,112.482,3.81,116.29,4.44,1.608,27.742,9361.79,2.99,A,000723,美锦能源,3.76,-3.84,1.33,,0.455,,0.25,0.5,0.25,1.0,0.5,1.0
2026-09-11,2.0,113056,重银转债,126.801,4.11,130.91,-7.63,1.532,115.622,21539.23,1.47,AAA,601963,重庆银行,11.23,-1.32,0.6,,0.60375,,0.5,0.75,0.5,0.5,1.0,0.375
2026-09-11,3.0,113046,金田转债,129.386,2.98,132.37,-28.49,0.526,14.991,31246.24,16.12,AA+,601609,金田股份,12.79,-3.47,2.14,,0.635,,1.0,0.25,1.0,0.25,0.25,0.75
2026-09-11,4.0,113062,常银转债,128.75,5.45,134.2,-7.93,2.014,59.994,13632.63,1.77,AAA,601128,常熟银行,6.41,-0.77,0.7,,0.8062500000000001,,0.75,1.0,0.75,0.75,0.75,0.375
2026-09-11,,123285,润禾转02,100.0,4.78,104.78,2.82,6.0,3.7,0.0,0.0,A+,300727,润禾材料,29.68,-1.69,3.95,,,liquidity_too_low,,,,,,
2026-09-11,,113605,大参转债,111.985,6.67,118.66,-16.17,0.112,14.044,6697.19,4.27,AA,603233,大参林,17.7,-1.39,2.61,,,maturity_too_close,,,,,,
2026-09-11,,113042,上银转债,117.713,1.12,118.83,-13.03,0.373,199.774,30981.92,1.32,AAA,601229,上海银行,9.72,-0.72,0.52,,,maturity_too_close,,,,,,
2026-09-11,,128136,立讯转债,112.316,12.88,125.2,-26.97,0.145,29.816,19437.41,5.83,AA+,002475,立讯精密,55.39,1.73,4.58,,,maturity_too_close,,,,,,
2026-09-11,,113043,财通转债,114.402,11.33,125.73,-30.12,0.247,37.992,9710.2,2.23,AAA,601108,财通证券,8.2,-4.32,0.97,,,maturity_too_close,,,,,,
2026-09-11,,128134,鸿路转债,113.808,6.44,120.25,-45.22,0.077,12.849,4101.66,2.8,AA,002541,鸿路钢构,18.7,-3.21,1.29,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
