snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-16,1.0,113056,重银转债,126.193,5.39,131.58,-7.4,1.518,115.622,12938.27,0.89,AAA,601963,重庆银行,11.04,-0.99,0.59,,0.42875,,0.5,0.25,0.5,0.25,1.0,0.375
2026-09-16,2.0,127061,美锦转债,111.726,6.51,118.24,4.93,1.595,27.742,4736.19,1.53,A,000723,美锦能源,3.64,0.0,1.29,,0.505,,0.25,0.75,0.25,0.75,0.5,1.0
2026-09-16,3.0,113062,常银转债,128.147,5.95,134.1,-8.13,2.0,59.994,7627.77,0.99,AAA,601128,常熟银行,6.35,-0.63,0.69,,0.6312500000000001,,0.75,0.5,0.75,0.5,0.75,0.375
2026-09-16,4.0,113058,友发转债,129.945,13.26,143.21,-8.36,1.537,18.638,4649.93,1.92,AA,601686,友发集团,5.14,0.0,1.07,,0.9349999999999999,,1.0,1.0,1.0,1.0,0.25,0.75
2026-09-16,,123285,润禾转02,100.0,-7.16,92.84,2.83,5.986,3.7,0.0,0.0,A+,300727,润禾材料,33.5,5.68,4.46,,,liquidity_too_low,,,,,,
2026-09-16,,127116,瑞鹄转02,100.0,0.14,100.14,1.85,6.003,6.86,0.0,0.0,AA,002997,瑞鹄模具,29.14,-0.34,2.3,,,liquidity_too_low,,,,,,
2026-09-16,,113043,财通转债,112.56,6.93,119.49,-25.33,0.233,37.992,13588.73,3.2,AAA,601108,财通证券,8.4,3.07,0.99,,,maturity_too_close,,,,,,
2026-09-16,,113042,上银转债,117.936,2.47,120.41,-14.02,0.359,199.774,16123.67,0.69,AAA,601229,上海银行,9.61,-0.62,0.51,,,maturity_too_close,,,,,,
2026-09-16,,123076,强力转债,121.62,12.3,133.92,-41.06,0.175,3.393,4608.81,11.23,AA-,300429,强力新材,11.48,2.32,3.24,,,maturity_too_close,,,,,,
2026-09-16,,113605,大参转债,111.915,3.56,115.48,-17.84,0.099,14.044,6371.44,4.05,AA,603233,大参林,18.22,-0.87,2.68,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-16,,128134,鸿路转债,112.899,8.02,120.92,-42.58,0.063,12.849,4596.96,3.19,AA,002541,鸿路钢构,18.28,0.61,1.26,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-16,,113046,金田转债,130.891,0.79,131.68,-31.16,0.512,14.991,17534.58,8.95,AA+,601609,金田股份,13.22,3.12,2.21,,,price_too_high,,,,,,
2026-09-16,,127047,帝欧转债,136.315,5.98,142.3,-13.07,1.107,4.654,3050.06,4.81,BBB+,002798,帝欧水华,6.56,0.61,1.89,,,price_too_high,,,,,,
2026-09-16,,111015,东亚转债,134.641,10.19,144.83,-4.52,2.806,6.662,10845.59,12.16,A+,605177,东亚药业,24.78,-0.48,1.67,,,price_too_high,,,,,,
2026-09-16,,113631,皖天转债,133.594,13.54,147.13,-14.58,1.145,5.958,2850.27,3.59,AA+,603689,皖天然气,7.66,0.39,1.07,,,price_too_high,,,,,,
2026-09-16,,113681,镇洋转债,137.742,9.53,147.27,-4.36,3.288,5.476,2723.31,3.63,AA-,603213,镇洋发展,13.77,2.38,3.29,,,price_too_high,,,,,,
2026-09-16,,127080,声迅转债,219.0,5.09,224.09,-23.77,2.29,2.793,113006.1,183.09,A,003004,声迅股份,60.31,1.12,7.15,,,price_too_high,,,,,,
2026-09-16,,118058,微导转债,358.758,11.83,370.59,-21.13,4.89,11.698,140069.19,33.9,AA,688147,微导纳米,106.8,6.12,16.03,,,price_too_high,,,,,,
2026-09-16,,128138,侨银转债,131.55,4.84,136.39,-7.05,0.17,4.199,8245.98,14.97,A+,002973,侨银股份,13.3,6.31,2.11,,,price_too_high|maturity_too_close,,,,,,
2026-09-16,,123091,长海转债,139.0,5.26,144.26,-75.79,0.269,5.46,72558.96,95.13,AA,300196,长海股份,19.53,-1.51,1.65,,,price_too_high|maturity_too_close,,,,,,
2026-09-16,,110077,洪城转债,204.912,-0.26,204.65,-264.22,0.178,5.279,6546.82,6.05,AA+,600461,洪城环境,9.06,-0.33,1.17,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-16,,113615,金诚转债,722.539,10.21,732.75,-317.91,0.269,4.958,33653.05,9.43,AA,603979,金诚信,72.9,0.83,3.67,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-16,,132026,G三峡EB2,136.48,1.69,138.17,-29.55,0.707,94.986,3295.73,0.25,AAA,600900,长江电力,28.46,-0.14,3.22,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,111000,起帆转债,140.026,6.33,146.36,-26.1,0.685,9.991,19767.13,14.11,AA-,605222,起帆电缆,22.77,-0.35,1.91,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,123207,冠中转债,201.6,12.19,213.79,-17.14,2.847,1.455,15623.04,53.52,A-,300948,冠中生态,18.76,2.23,3.07,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,123258,胜蓝转02,253.703,-0.95,252.75,,,4.486,193384.39,173.78,AA-,300843,胜蓝股份,139.24,5.09,13.21,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,123243,严牌转债,248.0,6.84,254.84,-17.86,3.816,2.558,79478.35,129.11,A+,301081,严牌股份,16.76,3.01,3.42,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,123213,天源转债,270.57,13.67,284.24,-25.99,2.866,3.26,41439.25,46.19,AA-,301127,武汉天源,16.9,1.38,3.26,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,123245,集智转债,367.484,11.17,378.65,-25.19,3.912,1.537,184652.07,336.32,A,300553,集智股份,59.7,8.72,7.84,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-16,,110081,闻泰转债,102.858,10.76,113.62,5.81,0.863,71.5,7733.34,1.05,BBB+,600745,*ST闻泰,17.05,2.22,0.89,,,st_stock,,,,,,
