代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,31.72,6.87,4.22,31.1,101.99,-1.95,A+,21.77,40.43,7.2,2032-09-09,5.992,3.7,0.0,0.0,2.83,98.05
127116,瑞鹄转02,100.0,0.0,002997,瑞鹄模具,29.43,1.31,2.32,29.18,100.86,-0.85,AA,20.426,37.934,11.1,2032-09-16,0.0,6.86,0.0,0.0,1.85,99.15
110077,洪城转债,207.005,1.67,600461,洪城环境,9.14,1.78,1.18,4.41,207.26,-0.12,AA+,3.087,5.733,4.6,2026-11-20,0.184,5.468,9015.4,8.01,-259.19,206.89
113042,上银转债,118.186,0.4,601229,上海银行,9.77,0.51,0.52,8.35,117.01,1.01,AAA,,10.855,14.4,2027-01-25,0.364,199.774,27610.98,1.17,-14.36,119.2
113046,金田转债,130.375,0.76,601609,金田股份,13.14,2.74,2.19,10.18,129.08,1.01,AA+,7.126,13.234,6.6,2027-03-22,0.518,14.991,27890.66,14.26,-30.18,131.39
132026,G三峡EB2,137.029,0.52,600900,长江电力,28.63,0.63,3.24,21.2,135.05,1.49,AAA,14.84,27.56,1.4,2027-06-01,0.712,94.986,5821.48,0.45,-29.76,138.52
123243,严牌转债,236.386,2.44,301081,严牌股份,16.79,3.01,3.42,7.22,232.55,1.65,A+,5.054,9.386,6.8,2030-07-10,3.822,2.558,70928.58,118.65,-16.79,238.04
123091,长海转债,138.79,4.95,300196,长海股份,20.15,7.24,1.71,14.79,136.24,1.87,AA,10.353,19.227,11.0,2026-12-23,0.274,5.46,158978.75,213.08,-73.83,140.66
123258,胜蓝转02,249.5,3.31,300843,胜蓝股份,132.88,3.35,12.61,54.36,244.44,2.07,AA-,38.052,70.668,2.1,2031-08-28,,4.49,145959.35,131.5,,251.57
113056,重银转债,127.361,0.44,601963,重庆银行,11.42,1.69,0.61,9.22,123.86,2.83,AAA,,11.986,49.8,2028-03-23,1.523,115.622,15831.61,1.07,-7.94,130.19
127047,帝欧转债,135.388,-0.08,002798,帝欧水华,6.66,-0.3,1.91,5.1,130.59,3.68,BBB+,3.57,6.63,13.5,2027-10-25,1.112,4.654,4515.36,7.16,-12.47,139.07
113605,大参转债,113.149,1.04,603233,大参林,18.25,3.11,2.69,16.86,108.24,4.53,AA,11.802,21.918,6.8,2026-10-22,0.104,14.044,3180.07,2.01,-27.45,117.68
113062,常银转债,129.21,0.36,601128,常熟银行,6.46,0.78,0.7,5.25,123.05,5.01,AAA,,6.825,25.5,2028-09-15,2.006,59.994,9434.85,1.22,-8.13,134.22
