代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,34.53,3.07,4.6,31.1,111.03,-9.93,A+,21.77,40.43,6.6,2032-09-09,5.984,3.7,0.0,0.0,2.83,90.07
123258,胜蓝转02,261.25,2.97,300843,胜蓝股份,142.0,1.98,13.47,54.36,261.22,0.01,AA-,38.052,70.668,1.9,2031-08-28,,4.364,147978.81,134.31,,261.26
110077,洪城转债,202.451,-1.2,600461,洪城环境,8.91,-1.66,1.15,4.41,202.04,0.2,AA+,3.087,5.733,4.5,2026-11-20,0.175,5.278,5549.3,5.19,-264.58,202.65
132026,G三峡EB2,137.2,0.52,600900,长江电力,28.46,0.0,3.22,21.2,134.25,2.22,AAA,14.84,27.56,1.4,2027-06-01,0.704,94.986,3373.69,0.26,-30.25,139.42
113046,金田转债,130.785,-0.08,601609,金田股份,13.02,-1.51,2.17,10.18,127.9,2.26,AA+,7.126,13.234,6.7,2027-03-22,0.51,14.991,10593.07,5.4,-31.19,133.05
113042,上银转债,117.702,-0.2,601229,上海银行,9.59,-0.21,0.51,8.35,114.85,2.48,AAA,,10.855,14.1,2027-01-25,0.356,192.16,15851.95,0.7,-13.6,120.18
113605,大参转债,111.711,-0.18,603233,大参林,18.31,0.49,2.7,16.86,108.6,2.86,AA,11.802,21.918,6.7,2026-10-22,0.096,14.044,7467.8,4.77,-16.43,114.57
123091,长海转债,144.449,3.92,300196,长海股份,20.71,6.04,1.75,14.79,140.03,3.16,AA,10.353,19.227,10.7,2026-12-23,0.266,5.46,148009.88,187.18,-88.05,147.61
128138,侨银转债,132.535,0.75,002973,侨银股份,13.56,1.95,2.15,10.6,127.93,3.6,A+,7.42,13.78,9.7,2026-11-17,0.167,4.199,10367.15,18.67,-11.63,136.14
127047,帝欧转债,134.78,-1.13,002798,帝欧水华,6.63,1.07,1.91,5.1,130.0,3.68,BBB+,3.57,6.63,13.6,2027-10-25,1.104,4.654,3805.34,6.02,-12.19,138.46
123243,严牌转债,243.0,-2.02,301081,严牌股份,16.77,0.06,3.42,7.22,232.27,4.62,A+,5.054,9.386,6.8,2030-07-10,3.814,2.558,104764.96,169.85,-17.43,247.62
113056,重银转债,125.975,-0.17,601963,重庆银行,11.03,-0.09,0.59,9.22,119.63,5.3,AAA,,11.986,51.5,2028-03-23,1.515,115.622,8577.92,0.59,-7.31,131.28
111000,起帆转债,138.539,-1.06,605222,起帆电缆,22.56,-0.92,1.89,17.29,130.48,6.18,AA-,12.103,22.477,10.7,2027-05-24,0.682,9.991,12746.04,9.16,-24.91,144.72
113043,财通转债,111.5,-0.94,601108,财通证券,8.38,-0.24,0.99,7.98,105.01,6.18,AAA,,10.374,9.8,2026-12-10,0.23,37.992,7787.65,1.84,-21.69,117.68
128134,鸿路转债,111.7,-1.06,002541,鸿路钢构,18.39,0.6,1.27,17.49,105.15,6.23,AA,12.243,22.737,13.6,2026-10-09,0.06,12.849,3468.44,2.41,-26.47,117.93
113062,常银转债,128.005,-0.11,601128,常熟银行,6.32,-0.47,0.69,5.25,120.38,6.33,AAA,,6.825,26.0,2028-09-15,1.997,59.994,5664.43,0.74,-8.08,134.34
127061,美锦转债,110.639,-0.97,000723,美锦能源,3.6,-1.1,1.27,3.47,103.75,6.64,A,2.429,4.511,17.5,2028-04-20,1.592,27.742,9927.2,3.24,5.6,117.28
127080,声迅转债,224.499,2.51,003004,声迅股份,60.67,0.6,7.19,28.94,209.64,7.09,A,20.258,37.622,6.7,2028-12-30,2.288,2.793,86498.15,138.59,-24.63,231.59
111015,东亚转债,135.948,0.97,605177,东亚药业,25.74,3.87,1.73,20.28,126.92,7.11,A+,14.196,26.364,22.8,2029-07-06,2.803,6.662,14055.7,15.5,-4.86,143.06
123245,集智转债,397.0,8.03,300553,集智股份,65.98,10.52,8.66,18.06,365.34,8.67,A,12.642,23.478,2.7,2030-08-14,3.91,1.537,304494.95,501.66,-26.68,405.67
118058,微导转债,377.982,5.36,688147,微导纳米,115.68,8.31,17.37,33.29,347.49,8.77,AA,23.303,43.277,2.2,2031-08-06,4.888,11.698,267232.46,60.78,-21.98,386.75
127116,瑞鹄转02,100.0,0.0,002997,瑞鹄模具,26.67,-8.48,2.11,29.18,91.4,9.41,AA,20.426,37.934,12.3,2032-09-16,6.003,6.86,0.0,0.0,1.85,109.41
113681,镇洋转债,137.289,-0.33,603213,镇洋发展,13.6,-1.23,3.25,10.95,124.2,10.54,AA-,7.665,14.235,9.1,2029-12-29,3.285,5.476,3046.73,4.05,-4.26,147.83
113615,金诚转债,728.213,0.79,603979,金诚信,73.2,0.41,3.69,11.12,658.27,10.62,AA,7.784,14.456,1.1,2026-12-23,0.266,4.958,33418.56,9.35,-321.75,738.83
123207,冠中转债,198.501,-1.54,300948,冠中生态,18.69,-0.37,3.06,10.44,179.02,10.88,A-,7.308,13.572,5.0,2029-07-21,2.844,1.455,9646.44,33.11,-16.7,209.38
123160,泰福转债,171.001,2.01,300992,泰福泵业,30.11,5.87,3.13,19.7,152.84,11.88,A,13.79,25.61,9.9,2028-09-28,2.033,2.314,212596.57,524.95,-16.58,182.88
110081,闻泰转债,100.728,-2.07,600745,*ST闻泰,16.5,-3.23,0.86,18.36,89.87,12.08,BBB-,12.852,23.868,32.8,2027-07-28,0.86,71.5,12696.3,1.75,8.42,112.81
123076,强力转债,121.956,0.28,300429,强力新材,11.48,0.0,3.24,10.6,108.3,12.61,AA-,7.42,13.78,7.1,2026-11-19,0.173,3.39,5742.92,13.86,-43.22,134.57
110076,华海转债,111.88,0.17,600521,华海药业,16.35,0.86,2.5,16.5,99.09,12.91,AA,11.55,21.45,7.5,2026-11-02,0.126,18.424,7271.19,3.53,-13.34,124.79
113631,皖天转债,133.752,0.12,603689,皖天然气,7.69,0.39,1.07,6.51,118.13,13.23,AA+,4.557,8.463,14.8,2027-11-08,1.143,5.958,3317.32,4.18,-14.7,146.98
