snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-08,1.0,127061,美锦转债,113.691,1.68,115.37,3.72,1.616,27.742,8243.39,2.63,A,000723,美锦能源,3.88,4.02,1.37,,0.3375,,0.25,0.25,0.25,0.75,0.25,1.0
2026-09-08,2.0,113056,重银转债,126.891,5.3,132.19,-7.64,1.54,115.622,14489.95,0.99,AAA,601963,重庆银行,11.11,0.45,0.6,,0.5837500000000001,,0.75,0.5,0.5,0.25,1.0,0.375
2026-09-08,3.0,113062,常银转债,129.376,5.47,134.85,-8.12,2.022,59.994,10287.51,1.33,AAA,601128,常熟银行,6.44,1.74,0.7,,0.78625,,1.0,0.75,0.75,0.5,0.75,0.375
2026-09-08,4.0,127030,盛虹转债,119.543,11.21,130.75,-18.08,0.534,49.974,6900.86,1.16,AA+,000301,东方盛虹,14.2,1.87,2.42,,0.7925,,0.5,1.0,1.0,1.0,0.5,0.75
2026-09-08,,123285,润禾转02,100.0,-2.57,97.43,2.82,6.003,3.7,0.0,0.0,A+,300727,润禾材料,31.92,3.13,4.25,,,liquidity_too_low,,,,,,
2026-09-08,,123283,丰茂转债,100.0,9.64,109.64,2.21,5.945,6.075,0.0,0.0,AA-,301459,丰茂股份,32.46,0.81,2.65,,,liquidity_too_low,,,,,,
2026-09-08,,113605,大参转债,113.487,4.9,118.39,-26.08,0.121,14.044,2700.78,1.69,AA,603233,大参林,18.24,-0.92,2.69,,,maturity_too_close,,,,,,
2026-09-08,,113042,上银转债,118.01,3.18,121.19,-13.37,0.381,199.774,25726.54,1.09,AAA,601229,上海银行,9.55,0.74,0.51,,,maturity_too_close,,,,,,
2026-09-08,,113043,财通转债,116.0,8.65,124.65,-34.2,0.255,37.992,12854.25,2.9,AAA,601108,财通证券,8.52,0.12,1.0,,,maturity_too_close,,,,,,
2026-09-08,,123091,长海转债,127.033,12.68,139.71,-43.87,0.29,5.461,19534.01,28.09,AA,300196,长海股份,16.9,0.18,1.43,,,maturity_too_close,,,,,,
2026-09-08,,128134,鸿路转债,120.0,4.06,124.06,-101.38,0.085,13.05,4217.12,2.69,AA,002541,鸿路钢构,20.17,-0.88,1.39,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-08,,113046,金田转债,134.802,2.49,137.29,-34.44,0.534,14.992,12704.76,6.28,AA+,601609,金田股份,13.39,0.6,2.24,,,price_too_high,,,,,,
2026-09-08,,127047,帝欧转债,138.613,2.75,141.36,-14.13,1.129,4.654,4101.12,6.33,BBB+,002798,帝欧水华,6.88,-0.72,1.98,,,price_too_high,,,,,,
