snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-23,1.0,127061,美锦转债,108.182,6.65,114.83,7.2,1.575,27.742,7326.18,2.43,A,000723,美锦能源,3.52,-4.09,1.24,,0.5333333333333333,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0
2026-09-23,2.0,113056,重银转债,124.201,5.93,130.13,-6.49,1.499,115.622,16688.62,1.16,AAA,601963,重庆银行,10.81,-1.1,0.58,,0.5483333333333332,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-23,3.0,113062,常银转债,127.093,7.79,134.88,-7.81,1.981,59.994,15017.53,1.97,AAA,601128,常熟银行,6.19,-0.96,0.67,,0.9183333333333333,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5
2026-09-23,,123285,润禾转02,100.0,-14.68,85.32,2.84,5.967,3.7,0.0,0.0,A+,300727,润禾材料,36.45,4.74,4.85,,,liquidity_too_low,,,,,,
2026-09-23,,123287,满坤转债,100.0,-10.18,89.82,2.18,6.003,7.6,0.0,0.0,AA-,301132,满坤科技,74.56,9.12,6.13,,,liquidity_too_low,,,,,,
2026-09-23,,127117,奥士转债,100.0,-7.59,92.41,2.16,6.003,10.0,0.0,0.0,AA,002913,奥士康,90.86,3.11,6.55,,,liquidity_too_low,,,,,,
2026-09-23,,113711,常青转债,100.0,-2.08,97.92,2.18,6.003,8.0,0.0,0.0,AA-,603125,常青科技,24.52,3.11,3.86,,,liquidity_too_low,,,,,,
2026-09-23,,123286,国科转债,100.0,0.47,100.47,2.19,6.003,8.49,0.0,0.0,AA-,301571,国科天成,74.15,-1.13,6.28,,,liquidity_too_low,,,,,,
2026-09-23,,113043,财通转债,112.178,4.58,116.76,-26.1,0.214,37.992,13047.76,3.06,AAA,601108,财通证券,8.56,-0.47,1.01,,,maturity_too_close,,,,,,
2026-09-23,,113042,上银转债,115.546,1.88,117.43,-9.03,0.34,192.16,28222.84,1.27,AAA,601229,上海银行,9.47,-0.63,0.5,,,maturity_too_close,,,,,,
2026-09-23,,128134,鸿路转债,113.6,0.91,114.51,-77.11,0.044,10.036,44428.59,49.52,AA,002541,鸿路钢构,19.69,10.0,1.36,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-23,,113605,大参转债,110.997,4.14,115.14,-11.71,0.08,14.043,4914.1,3.15,AA,603233,大参林,17.97,1.24,2.65,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-23,,113046,金田转债,125.929,0.23,126.16,-25.65,0.493,13.656,49886.42,29.09,AA+,601609,金田股份,12.79,-3.47,2.14,公告要强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-23,,127047,帝欧转债,132.209,1.09,133.3,-10.78,1.088,4.654,3706.58,6.01,BBB+,002798,帝欧水华,6.67,-0.3,1.92,,,price_too_high,,,,,,
2026-09-23,,113681,镇洋转债,136.113,8.32,144.43,-4.03,3.269,5.476,2852.6,3.83,AA-,603213,镇洋发展,13.76,0.36,3.29,,,price_too_high,,,,,,
2026-09-23,,118035,国力转债,146.492,7.74,154.23,-7.67,2.721,4.799,33574.29,47.29,A+,688103,国力电子,84.72,2.49,7.01,,,price_too_high,,,,,,
2026-09-23,,123160,泰福转债,159.949,8.39,168.34,-13.84,2.016,2.314,45337.17,121.85,A,300992,泰福泵业,29.07,1.71,3.02,,,price_too_high,,,,,,
2026-09-23,,123207,冠中转债,198.84,5.59,204.43,-16.84,2.827,1.455,18234.5,62.3,A-,300948,冠中生态,19.66,-1.21,3.22,,,price_too_high,,,,,,
2026-09-23,,118058,微导转债,373.471,7.74,381.21,-21.85,4.871,11.698,92224.29,20.95,AA,688147,微导纳米,115.4,-0.09,17.33,,,price_too_high,,,,,,
2026-09-23,,128138,侨银转债,131.55,8.43,139.98,-7.97,0.151,4.199,4070.01,7.38,A+,002973,侨银股份,12.86,2.06,2.04,,,price_too_high|maturity_too_close,,,,,,
2026-09-23,,123091,长海转债,137.727,5.38,143.11,-78.69,0.249,5.459,23352.69,30.86,AA,300196,长海股份,19.33,-1.58,1.64,,,price_too_high|maturity_too_close,,,,,,
2026-09-23,,110077,洪城转债,200.206,-0.12,200.09,-288.45,0.159,5.069,4477.26,4.42,AA+,600461,洪城环境,8.84,0.11,1.16,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-23,,113615,金诚转债,727.864,6.44,734.3,-343.12,0.249,4.958,34092.94,9.42,AA,603979,金诚信,76.04,1.55,3.83,公告不强赎,,price_too_high|maturity_too_close|redeem_risk,,,,,,
2026-09-23,,111000,起帆转债,134.337,2.64,136.98,-21.62,0.666,9.991,14243.49,10.6,AA-,605222,起帆电缆,22.63,-0.22,1.9,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-23,,132026,G三峡EB2,135.3,2.17,137.47,-29.37,0.688,94.986,8986.11,0.7,AAA,600900,长江电力,28.08,0.21,3.18,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-23,,123243,严牌转债,243.35,3.9,247.25,-17.53,3.797,2.558,34747.68,55.69,A+,301081,严牌股份,16.91,-0.35,3.46,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-23,,123258,胜蓝转02,247.536,-0.28,247.26,,,3.499,75397.31,100.75,AA-,300843,胜蓝股份,134.94,-1.14,12.8,已公告强赎,,price_too_high|redeem_risk,,,,,,
2026-09-23,,123245,集智转债,398.0,6.88,404.88,-26.83,3.893,1.537,40337.84,66.25,A,300553,集智股份,67.25,1.43,8.83,公告不强赎,,price_too_high|redeem_risk,,,,,,
2026-09-23,,118027,宏图转债,93.214,-1.09,92.12,12.15,2.184,6.96,16940.07,26.18,CC,688066,*ST航图,8.18,-3.76,-1.58,,,price_too_low|st_stock,,,,,,
2026-09-23,,110081,闻泰转债,101.332,8.8,110.13,7.82,0.844,71.5,6691.45,0.92,BBB-,600745,*ST闻泰,17.1,-2.79,0.89,,,st_stock,,,,,,
