代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
127067,恒逸转2,186.373,000703,恒逸石化,30.0,5.708,2023-01-30,2026-09-03,2028-07-21,10.32,130,13.416,19.2,100.25,23/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123112,万讯转债,169.4,300112,万讯自控,2.457,2.083,2021-10-14,2026-09-11,2027-04-08,6.43,130,8.359,10.7,101.332,16/15 | 30,如果公司股票连续三十个交易日中至少有十 五个交易日的收盘价不低于当期转股价格的 130%(含 130%),已公告强赎
123065,宝莱转债,114.95,300246,宝莱特,2.19,2.178,2021-03-11,2026-08-31,2026-09-04,18.3,130,23.79,15.23,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-08-31 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),已公告强赎
128134,鸿路转债,117.207,002541,鸿路钢构,18.8,15.64,2021-04-15,2026-09-28,2026-10-09,17.49,130,22.737,19.86,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-09-28 最后交易",如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),已公告强赎
123241,欧通转债,861.0,300870,欧陆通,6.445,2.604,2025-01-13,,2030-07-05,30.8,130,40.04,220.25,,14/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
123261,普联转债,161.888,300996,普联软件,2.43,2.428,2026-06-11,,2031-12-05,12.97,130,16.861,14.05,,12/15 | 30,如果公司 A 股股票连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,
127078,优彩转债,153.3,002998,优彩资源,6.0,4.158,2023-06-20,,2028-12-14,6.11,130,7.943,8.04,,10/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
118013,道通转债,177.761,688208,道通科技,12.8,12.796,2023-01-16,,2028-07-08,21.48,130,27.924,25.77,,7/15 | 30,如果公司股票在连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123258,胜蓝转02,357.7,300843,胜蓝股份,4.5,4.498,2026-03-03,,2031-08-28,54.36,130,70.668,137.49,,6/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
127109,电化转债,177.0,002125,湘潭电化,4.87,4.866,2025-12-22,,2031-06-16,9.99,130,12.987,13.18,,4/15 | 30,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113066,平煤转债,139.196,601666,平煤股份,29.0,14.274,2023-09-22,,2029-03-16,7.46,130,9.698,9.91,,3/15 | 30,如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含）,
113046,金田转债,137.129,601609,金田股份,15.0,14.992,2021-09-27,,2027-03-22,10.18,130,13.234,13.35,,3/15 | 30,如果本公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%(含 130%),
123118,惠城转债,866.721,300779,惠城环保,3.2,0.654,2022-01-13,,2027-07-07,10.33,130,13.429,68.53,,1/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
