snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-21,1.0,127061,美锦转债,109.939,5.38,115.32,6.07,1.581,27.742,7432.9,2.44,A,000723,美锦能源,3.62,0.84,1.28,,0.39999999999999997,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
2026-09-21,2.0,113056,重银转债,124.971,5.71,130.68,-6.86,1.504,115.622,18532.05,1.28,AAA,601963,重庆银行,10.9,0.0,0.59,,0.6483333333333333,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5
2026-09-21,3.0,113062,常银转债,127.826,7.37,135.2,-8.06,1.986,59.994,6652.7,0.87,AAA,601128,常熟银行,6.25,-0.32,0.68,,0.9516666666666667,,1.0,1.0,1.0,1.0,0.6666666666666666,0.5
2026-09-21,,123285,润禾转02,100.0,-12.57,87.43,2.84,5.973,3.7,0.0,0.0,A+,300727,润禾材料,35.57,0.68,4.74,,,liquidity_too_low,,,,,,
2026-09-21,,123286,国科转债,100.0,-3.17,96.83,2.19,6.003,8.49,0.0,0.0,AA-,301571,国科天成,76.94,2.97,6.51,,,liquidity_too_low,,,,,,
2026-09-21,,127117,奥士转债,100.0,-0.64,99.36,2.15,6.003,10.0,0.0,0.0,AA,002913,奥士康,84.5,0.52,6.1,,,liquidity_too_low,,,,,,
2026-09-21,,127116,瑞鹄转02,100.0,8.72,108.72,1.85,5.992,6.86,0.0,0.0,AA,002997,瑞鹄模具,26.84,0.68,2.12,,,liquidity_too_low,,,,,,
2026-09-21,,113043,财通转债,112.965,4.82,117.79,-28.49,0.219,37.992,7703.51,1.8,AAA,601108,财通证券,8.6,1.9,1.01,,,maturity_too_close,,,,,,
2026-09-21,,113042,上银转债,117.305,2.67,119.98,-13.1,0.345,192.16,14617.42,0.65,AAA,601229,上海银行,9.54,-0.21,0.51,,,maturity_too_close,,,,,,
2026-09-21,,110076,华海转债,112.502,11.42,123.92,-19.32,0.115,18.424,7353.81,3.54,AA,600521,华海药业,16.66,3.22,2.55,,,maturity_too_close,,,,,,
2026-09-21,,123076,强力转债,124.159,12.01,136.17,-56.56,0.162,3.218,2776.31,6.96,AA-,300429,强力新材,11.75,0.95,3.32,,,maturity_too_close,,,,,,
2026-09-21,,128134,鸿路转债,111.074,4.11,115.18,-20.75,0.049,11.073,29028.1,23.68,AA,002541,鸿路钢构,18.66,0.27,1.29,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-21,,113605,大参转债,111.519,4.75,116.27,-16.57,0.085,14.044,12463.22,7.97,AA,603233,大参林,17.95,-2.34,2.64,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-21,,127047,帝欧转债,133.6,2.92,136.52,-11.59,1.093,4.654,3531.86,5.66,BBB+,002798,帝欧水华,6.62,-0.3,1.9,,,price_too_high,,,,,,
2026-09-21,,111015,东亚转债,134.913,10.64,145.55,-4.61,2.792,6.662,9120.48,10.18,A+,605177,东亚药业,24.73,0.16,1.67,,,price_too_high,,,,,,
2026-09-21,,113681,镇洋转债,136.805,10.55,147.36,-4.17,3.274,5.476,3419.58,4.57,AA-,603213,镇洋发展,13.55,0.44,3.24,,,price_too_high,,,,,,
2026-09-21,,123160,泰福转债,157.61,6.19,163.8,-13.16,2.022,2.314,36212.57,96.22,A,300992,泰福泵业,29.24,-5.22,3.04,,,price_too_high,,,,,,
2026-09-21,,123207,冠中转债,199.421,7.65,207.07,-16.9,2.833,1.455,15199.35,51.58,A-,300948,冠中生态,19.34,2.06,3.16,,,price_too_high,,,,,,
2026-09-21,,118058,微导转债,376.494,8.06,384.55,-21.96,4.877,11.698,67876.34,15.19,AA,688147,微导纳米,115.99,-4.93,17.41,,,price_too_high,,,,,,
