代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,34.8,-2.16,4.63,31.1,111.9,-10.63,A+,21.77,40.43,6.6,2032-09-09,5.97,3.7,0.0,0.0,2.84,89.37
127117,奥士转债,100.0,0.0,002913,奥士康,88.12,4.28,6.36,83.96,104.96,-4.72,AA,58.772,109.148,3.7,2032-09-22,6.003,10.0,0.0,0.0,2.15,95.28
118027,宏图转债,93.776,-1.13,688066,*ST航图,8.5,-3.63,-1.64,8.68,97.93,-4.24,CC,6.076,11.284,31.5,2028-11-28,2.186,7.125,29949.59,45.08,11.81,89.54
113046,金田转债,129.074,-0.76,601609,金田股份,13.25,-0.08,2.21,10.18,130.16,-0.83,AA+,7.126,13.234,6.4,2027-03-22,0.496,14.74,33337.59,17.39,-29.8,128.24
123286,国科转债,100.0,0.0,301571,国科天成,75.0,-2.52,6.35,74.5,100.67,-0.67,AA-,52.15,96.85,9.5,2032-09-22,6.003,8.49,0.0,0.0,2.19,99.33
123258,胜蓝转02,250.7,-4.33,300843,胜蓝股份,136.5,-4.66,12.95,54.36,251.1,-0.16,AA-,38.052,70.668,1.6,2031-08-28,,3.499,88889.16,99.16,,250.54
110077,洪城转债,200.352,-0.42,600461,洪城环境,8.83,-0.56,1.16,4.41,200.23,0.06,AA+,3.087,5.733,4.4,2026-11-20,0.162,5.139,4524.94,4.39,-283.81,200.41
127047,帝欧转债,133.28,-0.24,002798,帝欧水华,6.69,1.06,1.92,5.1,131.18,1.6,BBB+,3.57,6.63,13.5,2027-10-25,1.09,4.654,5026.89,8.08,-11.42,134.88
113042,上银转债,116.439,-0.74,601229,上海银行,9.53,-0.1,0.51,8.35,114.13,2.02,AAA,,10.855,14.1,2027-01-25,0.343,192.16,24825.98,1.11,-11.13,118.46
132026,G三峡EB2,135.099,-0.33,600900,长江电力,28.02,-0.28,3.17,21.2,132.17,2.24,AAA,14.84,27.56,1.4,2027-06-01,0.69,94.986,6225.94,0.48,-29.08,137.34
111000,起帆转债,134.787,-1.93,605222,起帆电缆,22.68,-0.13,1.9,17.29,131.17,2.75,AA-,12.103,22.477,10.7,2027-05-24,0.669,9.991,13690.19,10.06,-21.96,137.54
123243,严牌转债,242.7,-4.78,301081,严牌股份,16.97,-4.29,3.47,7.22,235.04,3.26,A+,5.054,9.386,6.7,2030-07-10,3.8,2.558,53081.11,83.58,-17.46,245.96
127061,美锦转债,110.079,0.13,000723,美锦能源,3.67,1.38,1.3,3.47,105.76,4.08,A,2.429,4.511,17.2,2028-04-20,1.578,27.742,7722.82,2.54,5.99,114.16
123091,长海转债,138.402,-0.61,300196,长海股份,19.64,-0.61,1.66,14.79,132.79,4.22,AA,10.353,19.227,11.2,2026-12-23,0.252,5.459,45582.66,58.88,-79.42,142.62
123207,冠中转债,199.701,0.14,300948,冠中生态,19.9,2.9,3.26,10.44,190.61,4.77,A-,7.308,13.572,4.7,2029-07-21,2.83,1.455,19324.37,65.79,-16.95,204.47
113043,财通转债,113.204,0.21,601108,财通证券,8.6,0.0,1.01,7.98,107.77,5.04,AAA,,10.374,9.5,2026-12-10,0.216,37.992,18926.98,4.4,-29.78,118.24
113605,大参转债,110.928,-0.53,603233,大参林,17.75,-1.11,2.61,16.86,105.28,5.37,AA,11.802,21.918,6.9,2026-10-22,0.082,14.043,4171.93,2.67,-10.52,116.3
