代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123285,润禾转02,100.0,0.0,300727,润禾材料,30.95,1.48,4.12,31.1,,,A+,21.77,40.43,7.4,2032-09-09,0.0,3.7,0.0,0.0,,100.0
123112,万讯转债,164.419,20.0,300112,万讯自控,10.55,20.02,3.19,6.43,164.08,0.21,AA-,4.501,8.359,4.2,2027-04-08,,1.13,195064.76,1108.96,,164.63
110077,洪城转债,202.076,-0.73,600461,洪城环境,8.89,-0.34,1.14,4.41,201.59,0.24,AA+,3.087,5.733,5.0,2026-11-20,0.203,5.837,5641.19,4.77,-227.83,202.32
123243,严牌转债,219.3,-0.77,301081,严牌股份,15.74,-1.13,3.21,7.22,218.01,0.59,A+,5.054,9.386,7.4,2030-07-10,3.841,2.607,34994.98,61.24,-15.05,219.89
132026,G三峡EB2,135.311,-1.3,600900,长江电力,27.85,-2.01,3.15,21.2,131.37,3.02,AAA,14.84,27.56,1.4,2027-06-01,0.732,94.986,15288.43,1.18,-27.61,138.33
127047,帝欧转债,140.05,0.31,002798,帝欧水华,6.93,4.68,1.99,5.1,135.88,3.07,BBB+,3.57,6.63,13.0,2027-10-25,1.132,4.654,6340.62,9.67,-14.89,143.12
128134,鸿路转债,120.0,-0.7,002541,鸿路钢构,20.35,-1.45,1.4,17.49,116.35,3.14,AA,12.243,22.737,12.5,2026-10-09,0.088,13.05,11417.6,7.32,-98.16,123.14
113046,金田转债,135.641,-0.28,601609,金田股份,13.31,-0.22,2.22,10.18,130.75,3.74,AA+,7.126,13.234,6.5,2027-03-22,0.537,14.992,14161.95,6.95,-35.2,139.38
113042,上银转债,118.021,0.02,601229,上海银行,9.48,-1.35,0.5,8.35,113.53,3.95,AAA,,10.855,14.8,2027-01-25,0.384,199.774,19807.89,0.84,-13.3,121.97
127061,美锦转债,112.24,-1.11,000723,美锦能源,3.73,-1.32,1.32,3.47,107.49,4.42,A,2.429,4.511,16.9,2028-04-20,1.619,27.742,8441.86,2.71,4.55,116.66
113605,大参转债,114.18,-0.29,603233,大参林,18.41,-2.02,2.71,16.86,109.19,4.57,AA,11.802,21.918,6.7,2026-10-22,0.123,14.044,6743.91,4.2,-30.38,118.75
123258,胜蓝转02,247.28,4.78,300843,胜蓝股份,127.9,4.33,12.14,54.36,235.28,5.1,AA-,38.052,70.668,2.2,2031-08-28,4.975,4.498,141490.03,127.66,-14.05,252.38
113056,重银转债,126.988,-0.42,601963,重庆银行,11.06,-2.47,0.59,9.22,119.96,5.86,AAA,,11.986,51.4,2028-03-23,1.543,115.622,19390.48,1.32,-7.67,132.85
127080,声迅转债,285.385,2.8,003004,声迅股份,77.9,3.52,9.24,28.94,269.18,6.02,A,20.258,37.622,5.2,2028-12-30,2.315,2.793,38030.64,47.86,-31.91,291.41
113062,常银转债,128.806,-0.22,601128,常熟银行,6.33,-1.4,0.69,5.25,120.57,6.83,AAA,,6.825,26.0,2028-09-15,2.025,59.994,11928.85,1.54,-7.91,135.64
123207,冠中转债,214.337,-0.21,300948,冠中生态,20.91,-0.52,3.42,10.44,200.29,7.01,A-,7.308,13.572,4.5,2029-07-21,2.871,1.455,10219.99,32.6,-18.78,221.35
110081,闻泰转债,107.23,-0.02,600745,*ST闻泰,18.1,-0.17,0.94,18.36,98.58,8.77,BBB+,12.852,23.868,30.0,2027-07-28,0.888,71.67,4511.37,0.59,0.81,116.0
113615,金诚转债,768.576,-0.81,603979,金诚信,78.45,-1.37,3.95,11.12,705.49,8.94,AA,7.784,14.456,1.0,2026-12-23,0.293,4.958,22528.29,5.89,-294.17,777.52
113681,镇洋转债,138.487,0.0,603213,镇洋发展,13.8,-0.36,3.3,10.95,126.03,9.89,AA-,7.665,14.235,8.9,2029-12-29,3.312,5.476,2964.64,3.91,-4.49,148.38
111000,起帆转债,139.31,1.68,605222,起帆电缆,21.88,3.75,1.84,17.29,126.55,10.09,AA-,12.103,22.477,11.1,2027-05-24,0.71,9.991,13575.82,9.76,-24.59,149.4
123283,丰茂转债,100.0,0.0,301459,丰茂股份,32.2,1.07,2.63,35.59,90.48,10.53,AA-,24.913,46.267,72.3,2032-08-17,5.948,6.075,0.0,0.0,2.21,110.53
113043,财通转债,118.02,-1.12,601108,财通证券,8.51,-2.74,1.0,7.98,106.64,10.67,AAA,,10.374,9.6,2026-12-10,0.258,37.992,9967.63,2.21,-39.97,128.69
128138,侨银转债,130.999,0.07,002973,侨银股份,12.49,-1.26,1.98,10.6,117.83,11.18,A+,7.42,13.78,10.6,2026-11-17,0.195,4.199,4019.97,7.32,-3.98,142.18
123091,长海转债,125.648,0.92,300196,长海股份,16.87,3.62,1.43,14.99,112.54,11.65,AA,10.493,19.487,13.1,2026-12-23,0.293,5.461,18831.23,27.42,-40.15,137.3
127030,盛虹转债,118.6,-0.93,000301,东方盛虹,13.94,-4.65,2.38,13.21,105.53,12.39,AA+,9.247,17.173,5.4,2027-03-22,0.537,49.974,10276.47,1.73,-16.64,130.99
113066,平煤转债,139.1,-0.08,601666,平煤股份,9.17,-1.4,0.9,7.46,122.92,13.16,AAA,5.222,9.698,6.3,2029-03-16,2.523,14.274,13577.14,6.84,-9.07,152.26
113058,友发转债,132.1,-0.09,601686,友发集团,5.21,-0.57,1.09,4.48,116.3,13.59,AA,3.136,5.824,24.2,2028-03-30,1.562,18.638,4192.63,1.71,-9.21,145.69
123247,万凯转债,206.39,-1.01,301216,万凯新材,20.25,-1.7,1.79,11.15,181.61,13.64,AA,7.805,14.495,17.8,2030-08-16,3.943,19.642,33093.85,8.04,-14.12,220.03
113631,皖天转债,134.946,-0.11,603689,皖天然气,7.72,-0.39,1.08,6.51,118.59,13.8,AA+,4.557,8.463,14.7,2027-11-08,1.17,5.958,3027.02,3.77,-15.03,148.75
118058,微导转债,362.156,6.46,688147,微导纳米,105.83,4.9,15.89,33.29,317.9,13.92,AA,23.303,43.277,2.4,2031-08-06,4.915,11.698,124146.1,29.83,-21.18,376.08
