代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123284,强达转债,100.0,0.0,301628,强达电路,90.85,-1.86,5.74,84.04,108.1,-7.5,AA-,58.828,109.252,20.8,2032-08-18,5.978,5.5,0.0,0.0,2.2,92.5
127067,恒逸转2,189.031,1.43,000703,恒逸石化,19.49,1.51,2.44,10.32,188.86,0.09,AA+,7.224,13.416,0.6,2028-07-21,,4.445,117191.93,140.14,,189.12
123112,万讯转债,160.292,-5.38,300112,万讯自控,10.26,-4.11,3.02,6.43,159.57,0.46,AA-,4.501,8.359,8.3,2027-04-08,,2.051,67315.6,200.17,,160.75
110077,洪城转债,205.124,0.43,600461,洪城环境,9.0,0.56,1.16,4.41,204.08,0.51,AA+,3.087,5.733,5.0,2026-11-20,0.23,5.837,6060.5,5.06,-203.93,205.63
110081,闻泰转债,109.318,2.24,600745,*ST闻泰,19.79,3.56,1.03,18.36,107.79,1.42,BBB+,12.852,23.868,27.6,2027-07-28,0.915,72.051,73094.08,9.33,-1.32,110.74
128134,鸿路转债,117.29,0.07,002541,鸿路钢构,20.22,1.81,1.36,17.49,115.61,1.45,AA,12.243,22.737,15.6,2026-10-09,0.115,15.64,8676.09,4.72,-55.35,118.74
127061,美锦转债,115.788,0.7,000723,美锦能源,3.95,1.28,1.4,3.47,113.83,1.72,A,2.429,4.511,16.0,2028-04-20,1.647,27.856,13452.55,4.17,2.49,117.51
132026,G三峡EB2,135.2,-0.52,600900,长江电力,28.05,-0.18,3.01,21.2,132.31,2.2,AAA,14.84,27.56,1.4,2027-06-01,0.759,94.986,4100.54,0.32,-26.53,137.4
113042,上银转债,116.821,-1.43,601229,上海银行,9.3,-2.62,0.5,8.35,111.38,4.89,AAA,,10.855,15.1,2027-01-25,0.411,199.774,50758.77,2.17,-10.04,121.71
113066,平煤转债,138.816,-0.27,601666,平煤股份,9.87,-0.4,0.97,7.46,132.31,4.92,AAA,5.222,9.698,5.9,2029-03-16,2.551,14.274,31869.29,15.97,-8.91,143.74
113615,金诚转债,778.052,2.0,603979,金诚信,81.72,1.71,4.11,11.12,734.89,5.87,AA,7.784,14.456,1.0,2026-12-23,0.321,4.958,50271.74,13.17,-269.37,783.92
113605,大参转债,114.184,0.32,603233,大参林,18.15,2.43,2.67,16.86,107.65,6.07,AA,11.802,21.918,6.8,2026-10-22,0.151,14.044,4029.87,2.51,-24.78,120.25
123243,严牌转债,209.366,-2.89,301081,严牌股份,14.17,0.5,2.89,7.22,196.26,6.68,A+,5.054,9.386,8.2,2030-07-10,3.869,2.607,33789.93,60.52,-13.91,216.05
113046,金田转债,136.088,-0.76,601609,金田股份,12.98,-2.77,2.17,10.18,127.51,6.73,AA+,7.126,13.234,6.7,2027-03-22,0.564,14.992,14187.16,6.95,-33.97,142.82
113056,重银转债,127.558,-0.36,601963,重庆银行,11.01,0.09,0.59,9.22,119.41,6.82,AAA,,11.986,51.6,2028-03-23,1.57,115.622,12560.27,0.85,-7.81,134.38
123207,冠中转债,223.368,0.12,300948,冠中生态,21.44,2.88,3.51,10.44,205.36,8.77,A-,7.308,13.572,4.4,2029-07-21,2.899,1.455,29817.73,91.82,-19.78,232.14
113043,财通转债,119.821,-0.32,601108,财通证券,8.78,-0.57,1.06,7.98,110.03,8.9,AAA,,10.374,9.3,2026-12-10,0.285,37.992,7900.94,1.73,-40.87,128.72
113681,镇洋转债,139.852,-0.02,603213,镇洋发展,14.0,0.29,3.15,10.95,127.85,9.38,AA-,7.665,14.235,8.8,2029-12-29,3.34,5.476,3742.11,4.88,-4.73,149.23
113062,常银转债,128.56,-0.4,601128,常熟银行,6.15,-1.28,0.67,5.25,117.14,9.75,AAA,,6.825,26.7,2028-09-15,2.052,59.994,14906.47,1.93,-7.72,138.31
128138,侨银转债,131.0,0.08,002973,侨银股份,12.57,1.62,2.0,10.6,118.59,10.47,A+,7.42,13.78,10.5,2026-11-17,0.222,4.199,5342.01,9.71,-3.48,141.47
127080,声迅转债,270.7,-1.04,003004,声迅股份,70.01,-0.7,8.3,28.94,241.91,11.9,A,20.258,37.622,5.8,2028-12-30,2.343,2.793,17107.02,22.34,-30.02,282.6
123213,天源转债,310.88,-1.99,301127,武汉天源,19.72,1.23,3.86,7.1,277.75,11.93,AA-,4.97,9.23,2.5,2029-07-28,2.918,3.26,59562.44,57.64,-29.08,322.81
127030,盛虹转债,120.223,0.27,000301,东方盛虹,14.1,3.45,2.62,13.21,106.74,12.63,AA+,9.247,17.173,5.4,2027-03-22,0.564,49.974,27360.29,4.55,-18.01,132.85
123283,丰茂转债,100.0,0.0,301459,丰茂股份,31.56,-0.44,2.58,35.59,88.68,12.77,AA-,24.913,46.267,73.8,2032-08-17,5.975,6.075,0.0,0.0,2.2,112.77
123282,震裕转02,100.0,0.0,300953,震裕科技,92.6,-2.01,4.61,104.85,88.32,13.23,AA-,73.395,136.305,11.6,2032-08-16,5.973,18.8,0.0,0.0,2.2,113.23
110076,华海转债,113.726,-0.38,600521,华海药业,16.46,-1.08,2.52,16.5,99.76,14.0,AA,11.55,21.45,7.5,2026-11-02,0.181,18.424,4657.51,2.23,-18.12,127.73
113058,友发转债,134.362,0.15,601686,友发集团,5.24,0.38,1.09,4.48,116.96,14.87,AA,3.136,5.824,24.0,2028-03-30,1.589,18.638,4997.19,1.99,-10.03,149.23
123091,长海转债,131.2,0.88,300196,长海股份,17.11,0.29,1.45,14.99,114.14,14.94,AA,10.493,19.487,12.9,2026-12-23,0.321,5.461,24112.79,33.5,-48.45,146.14
127040,国泰转债,123.12,0.07,002091,江苏国泰,7.87,0.38,0.79,7.35,107.08,14.99,AA+,5.145,9.555,31.6,2027-07-07,0.858,39.863,3252.88,0.66,-14.37,138.11
123076,强力转债,127.5,0.24,300429,强力新材,11.67,2.73,3.62,10.6,110.09,15.81,AA-,7.42,13.78,7.0,2026-11-19,0.227,3.393,5866.36,13.44,-50.61,143.31
