代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
127067,Z逸转2,182.635,1.81,000703,恒逸石化,18.88,1.94,2.37,10.32,182.95,-0.17,AA+,7.224,13.416,0.2,2028-07-21,,1.493,72137.83,263.87,,182.47
123112,万讯转债,135.0,-2.84,300112,万讯自控,8.69,-3.44,2.56,6.43,135.15,-0.11,AA-,4.501,8.359,7.5,2027-04-08,,1.617,40551.5,184.47,,134.89
110077,洪城转债,205.423,1.0,600461,洪城环境,8.98,0.56,1.15,4.41,203.63,0.88,AA+,3.087,5.733,5.0,2026-11-20,0.214,5.837,8875.76,7.41,-220.15,206.3
123243,严牌转债,222.219,-0.57,301081,严牌股份,15.9,0.06,3.24,7.22,220.22,0.91,A+,5.054,9.386,7.3,2030-07-10,3.852,2.607,28282.84,48.67,-15.3,223.13
113046,金田转债,138.477,1.74,601609,金田股份,13.81,2.6,2.31,10.18,135.66,2.08,AA+,7.126,13.234,6.3,2027-03-22,0.548,14.992,21290.02,10.35,-37.53,140.56
113042,上银转债,117.707,-0.49,601229,上海银行,9.6,-0.31,0.51,8.35,114.97,2.38,AAA,,10.855,14.6,2027-01-25,0.395,199.774,28844.95,1.22,-12.29,120.09
132026,G三峡EB2,137.5,0.59,600900,长江电力,28.44,-0.97,3.22,21.2,134.15,2.52,AAA,14.84,27.56,1.4,2027-06-01,0.743,94.986,19835.18,1.52,-28.92,140.02
113605,大参转债,114.135,0.63,603233,大参林,18.51,2.38,2.73,16.86,109.79,3.96,AA,11.802,21.918,6.7,2026-10-22,0.134,14.044,3703.96,2.31,-27.55,118.1
128134,鸿路转债,120.28,-1.04,002541,鸿路钢构,20.23,-2.88,1.37,17.49,115.67,3.99,AA,12.243,22.737,12.7,2026-10-09,0.099,13.157,7355.87,4.63,-89.12,124.27
113056,重银转债,127.406,0.25,601963,重庆银行,11.26,-0.79,0.61,9.22,122.13,4.32,AAA,,11.986,50.5,2028-03-23,1.553,115.622,20480.08,1.39,-7.81,131.73
127061,美锦转债,113.17,0.04,000723,美锦能源,3.76,-2.08,1.33,3.47,108.36,4.44,A,2.429,4.511,16.8,2028-04-20,1.63,27.742,11302.94,3.59,3.99,117.61
113062,常银转债,128.809,0.0,601128,常熟银行,6.37,0.47,0.69,5.25,121.33,6.16,AAA,,6.825,25.8,2028-09-15,2.036,59.994,8380.1,1.08,-7.87,134.97
113710,四方转债,100.0,0.0,603339,四方科技,13.91,-10.03,1.54,14.87,93.54,6.9,AA,10.409,19.331,23.8,2032-09-02,6.003,10.234,0.0,0.0,2.16,106.9
127030,盛虹转债,119.973,0.63,000301,东方盛虹,14.73,6.66,2.51,13.21,111.51,7.59,AA+,9.247,17.173,5.1,2027-03-22,0.548,49.974,30542.07,5.08,-18.22,127.56
123207,冠中转债,217.59,-2.34,300948,冠中生态,21.1,-2.5,3.45,10.44,202.11,7.66,A-,7.308,13.572,4.4,2029-07-21,2.882,1.455,11275.35,35.31,-19.14,225.25
127047,帝欧转债,139.8,0.0,002798,帝欧水华,6.61,3.61,1.9,5.1,129.61,7.86,BBB+,3.57,6.63,13.6,2027-10-25,1.143,4.654,4778.79,7.32,-14.62,147.66
128138,侨银转债,131.099,0.01,002973,侨银股份,12.88,0.78,2.05,10.6,121.51,7.89,A+,7.42,13.78,10.3,2026-11-17,0.206,4.199,5034.96,9.15,-4.14,138.99
123258,胜蓝转02,255.5,-2.63,300843,胜蓝股份,128.6,1.74,12.2,54.36,236.57,8.0,AA-,38.052,70.668,2.2,2031-08-28,4.986,4.498,266171.71,235.67,-14.59,263.5
113681,镇洋转债,138.734,-0.1,603213,镇洋发展,14.06,0.57,3.36,10.95,128.4,8.05,AA-,7.665,14.235,8.8,2029-12-29,3.323,5.476,2356.38,3.1,-4.52,146.78
110081,闻泰转债,106.817,-0.32,600745,*ST闻泰,18.1,-3.52,0.94,18.36,98.58,8.35,BBB+,12.852,23.868,30.1,2027-07-28,0.899,72.051,10615.33,1.38,1.24,115.17
113043,财通转债,119.208,0.77,601108,财通证券,8.76,1.15,1.03,7.98,109.77,8.59,AAA,,10.374,9.3,2026-12-10,0.269,37.992,10179.45,2.25,-41.69,127.8
127080,声迅转债,276.38,0.5,003004,声迅股份,73.45,0.99,8.71,28.94,253.8,8.9,A,20.258,37.622,5.5,2028-12-30,2.326,2.793,43978.69,56.22,-30.83,285.28
113615,金诚转债,783.664,3.16,603979,金诚信,79.72,1.12,4.01,11.12,716.91,9.31,AA,7.784,14.456,1.0,2026-12-23,0.304,4.958,48399.6,12.61,-284.37,792.97
118058,微导转债,354.172,-6.23,688147,微导纳米,107.47,-6.83,16.13,33.29,322.83,9.71,AA,23.303,43.277,2.3,2031-08-06,4.926,11.698,201403.59,48.03,-20.78,363.88
113066,平煤转债,138.479,-0.06,601666,平煤股份,9.38,-0.11,0.92,7.46,125.74,10.13,AAA,5.222,9.698,6.2,2029-03-16,2.534,14.274,11410.95,5.78,-8.87,148.61
123283,丰茂转债,100.0,0.0,301459,丰茂股份,32.24,0.25,2.63,35.59,90.59,10.39,AA-,24.913,46.267,72.2,2032-08-17,5.959,6.075,0.0,0.0,2.21,110.39
111000,起帆转债,137.724,-0.21,605222,起帆电缆,21.27,0.42,1.79,17.29,123.02,11.95,AA-,12.103,22.477,11.4,2027-05-24,0.721,9.991,6982.74,5.06,-22.9,149.67
127110,广核转债,137.727,0.27,003816,中国广核,4.4,1.62,1.8,3.58,122.91,12.06,AAA,2.506,4.654,2.8,2031-07-09,4.849,48.992,11993.1,1.77,-4.6,149.79
123235,亿田转债,171.68,2.0,300911,亿田智能,32.52,7.54,5.31,21.31,152.6,12.5,A+,14.917,27.703,7.8,2029-12-21,3.301,4.352,197200.64,262.21,-10.58,184.18
123091,长海转债,125.448,-2.06,300196,长海股份,16.64,-1.13,1.41,14.99,111.01,13.01,AA,10.493,19.487,13.3,2026-12-23,0.304,5.461,12782.78,18.53,-38.21,138.46
