代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123284,强达转债,100.0,0.0,301628,强达电路,92.57,3.89,5.84,84.04,110.15,-9.21,AA-,58.828,109.252,20.4,2032-08-18,5.981,5.5,0.0,0.0,2.2,90.79
127067,恒逸转2,186.373,5.79,000703,恒逸石化,19.2,5.49,2.41,10.32,186.05,0.18,AA+,7.224,13.416,0.7,2028-07-21,,5.708,206698.84,197.83,,186.55
110077,洪城转债,204.245,-1.33,600461,洪城环境,8.95,-1.0,1.12,4.41,202.95,0.64,AA+,3.087,5.733,5.0,2026-11-20,0.233,5.837,12961.26,10.95,-200.54,204.89
123112,万讯转债,169.4,-1.51,300112,万讯自控,10.7,1.61,3.15,6.43,166.41,1.8,AA-,4.501,8.359,8.1,2027-04-08,,2.083,144179.12,411.42,,171.2
127061,美锦转债,114.98,0.93,000723,美锦能源,3.9,0.52,1.35,3.47,112.39,2.3,A,2.429,4.511,16.2,2028-04-20,1.649,27.856,11739.7,3.68,2.93,117.28
110081,闻泰转债,106.922,0.15,600745,*ST闻泰,19.11,3.35,1.0,18.36,104.09,2.73,BBB+,12.852,23.868,28.6,2027-07-28,0.918,72.059,63071.7,8.15,1.1,109.65
128134,鸿路转债,117.207,0.52,002541,鸿路钢构,19.86,0.1,1.35,17.49,113.55,3.22,AA,12.243,22.737,15.9,2026-10-09,0.118,15.64,8118.95,4.44,-53.42,120.43
113042,上银转债,118.513,-0.17,601229,上海银行,9.55,-1.75,0.52,8.35,114.37,3.62,AAA,,10.855,14.7,2027-01-25,0.414,199.774,30955.63,1.31,-13.28,122.13
113046,金田转债,137.129,0.67,601609,金田股份,13.35,1.37,2.23,10.18,131.14,4.57,AA+,7.126,13.234,6.5,2027-03-22,0.567,14.992,22641.98,10.98,-34.89,141.7
113066,平煤转债,139.196,-4.77,601666,平煤股份,9.91,1.85,0.97,7.46,132.84,4.78,AAA,5.222,9.698,5.8,2029-03-16,2.553,14.274,69269.85,34.12,-9.0,143.98
113615,金诚转债,762.759,0.85,603979,金诚信,80.35,-0.45,4.04,11.12,722.57,5.56,AA,7.784,14.456,1.0,2026-12-23,0.323,4.958,74538.28,19.92,-266.2,768.32
113056,重银转债,128.016,-0.19,601963,重庆银行,11.0,-1.79,0.59,9.22,119.31,7.3,AAA,,11.986,51.7,2028-03-23,1.573,115.622,12299.05,0.83,-8.01,135.32
113605,大参转债,113.818,-0.37,603233,大参林,17.72,-2.9,2.61,16.86,105.1,8.29,AA,11.802,21.918,7.0,2026-10-22,0.153,14.044,4863.47,3.04,-22.26,122.11
113043,财通转债,120.206,1.87,601108,财通证券,8.83,1.85,1.06,7.98,110.65,8.63,AAA,,10.374,9.3,2026-12-10,0.288,37.992,23840.61,5.27,-41.48,128.84
113062,常银转债,129.078,-0.71,601128,常熟银行,6.23,-2.5,0.69,5.25,118.67,8.77,AAA,,6.825,26.4,2028-09-15,2.055,59.994,17565.53,2.27,-7.89,137.85
113681,镇洋转债,139.877,-0.05,603213,镇洋发展,13.96,-0.21,3.14,10.95,127.49,9.72,AA-,7.665,14.235,8.8,2029-12-29,3.343,5.476,2272.58,2.97,-4.74,149.6
123243,严牌转债,215.6,0.05,301081,严牌股份,14.1,0.43,2.95,7.22,195.29,10.4,A+,5.054,9.386,8.2,2030-07-10,3.871,2.607,50032.81,87.51,-14.56,226.0
123282,震裕转02,100.0,0.0,300953,震裕科技,94.5,2.12,4.86,104.85,90.13,10.95,AA-,73.395,136.305,11.4,2032-08-16,5.975,18.8,0.0,0.0,2.2,110.95
123207,冠中转债,223.1,-0.43,300948,冠中生态,20.84,0.58,3.52,10.44,199.62,11.76,A-,7.308,13.572,4.5,2029-07-21,2.901,1.455,22029.31,67.18,-19.73,234.86
128138,侨银转债,130.89,0.13,002973,侨银股份,12.37,3.51,1.97,10.6,116.7,12.16,A+,7.42,13.78,10.7,2026-11-17,0.225,4.199,5530.12,10.06,-3.06,143.05
123283,丰茂转债,100.0,0.0,301459,丰茂股份,31.7,0.32,2.59,35.59,89.07,12.27,AA-,24.913,46.267,73.4,2032-08-17,5.978,6.075,0.0,0.0,2.2,112.27
127080,声迅转债,273.54,2.33,003004,声迅股份,70.5,2.17,8.23,28.94,243.61,12.29,A,20.258,37.622,5.8,2028-12-30,2.345,2.793,24020.13,31.54,-30.31,285.83
