snapshot_date,rank,code,name,price,premium_rate,double_low,ytm,remaining_years,remaining_size,amount,turnover_rate,rating,stock_code,stock_name,stock_price,stock_change_pct,stock_pb,redeem_status,score,filter_reason,price_rank,premium_rank,ytm_rank,amount_rank,size_rank,rating_rank
2026-09-04,1.0,127061,美锦转债,113.5,4.19,117.69,3.8,1.627,27.742,7019.72,2.23,A,000723,美锦能源,3.78,0.53,1.34,,0.4375,,0.25,0.5,0.25,1.0,0.25,1.0
2026-09-04,2.0,113056,重银转债,127.53,3.69,131.22,-7.89,1.551,115.622,13995.11,0.95,AAA,601963,重庆银行,11.34,0.71,0.61,,0.50875,,0.75,0.25,0.5,0.25,1.0,0.375
2026-09-04,3.0,127030,盛虹转债,119.718,8.17,127.89,-17.95,0.545,49.974,11762.7,1.96,AA+,000301,东方盛虹,14.62,-0.75,2.49,,0.7425,,0.5,1.0,1.0,0.5,0.5,0.75
2026-09-04,4.0,113062,常银转债,129.095,5.57,134.67,-7.98,2.033,59.994,8384.57,1.08,AAA,601128,常熟银行,6.42,0.78,0.7,,0.81125,,1.0,0.75,0.75,0.75,0.75,0.375
2026-09-04,,123283,丰茂转债,100.0,11.71,111.71,2.21,5.956,6.075,0.0,0.0,AA-,301459,丰茂股份,31.86,-1.18,2.6,,,liquidity_too_low,,,,,,
2026-09-04,,113605,大参转债,114.509,2.75,117.26,-30.57,0.132,14.044,5247.66,3.26,AA,603233,大参林,18.79,1.51,2.77,,,maturity_too_close,,,,,,
2026-09-04,,113042,上银转债,118.003,2.53,120.53,-12.98,0.392,199.774,26117.57,1.11,AAA,601229,上海银行,9.61,0.1,0.51,,,maturity_too_close,,,,,,
2026-09-04,,113043,财通转债,119.358,8.85,128.21,-42.55,0.266,37.992,11705.63,2.57,AAA,601108,财通证券,8.75,-0.11,1.03,,,maturity_too_close,,,,,,
2026-09-04,,128134,鸿路转债,120.85,2.36,123.21,-96.33,0.096,13.115,17251.72,10.84,AA,002541,鸿路钢构,20.65,2.08,1.42,已公告强赎,,maturity_too_close|redeem_risk,,,,,,
2026-09-04,,113046,金田转债,136.02,3.8,139.82,-35.09,0.545,14.992,14539.63,7.08,AA+,601609,金田股份,13.34,-3.4,2.23,,,price_too_high,,,,,,
2026-09-04,,113058,友发转债,132.213,13.04,145.25,-9.21,1.57,18.638,5742.22,2.33,AA,601686,友发集团,5.24,0.19,1.09,,,price_too_high,,,,,,
2026-09-04,,127047,帝欧转债,139.614,7.56,147.17,-14.55,1.14,4.654,5895.51,9.06,BBB+,002798,帝欧水华,6.62,0.15,1.9,,,price_too_high,,,,,,
